date,open,high,low,close
2023-07-03,545.0,551.95,542.1,545.15
2023-07-04,549.85,553.75,535.0,537.9
2023-07-05,540.55,541.7,532.6,536.45
2023-07-06,536.45,542.05,534.65,538.8
2023-07-07,539.4,540.95,532.05,534.55
2023-07-10,543.0,548.25,534.65,537.9
2023-07-11,537.0,537.9,531.1,534.5
2023-07-12,537.0,545.0,530.1,538.85
2023-07-13,542.7,542.7,532.1,533.65
2023-07-14,535.5,537.0,526.7,529.95
2023-07-17,533.8,533.9,527.8,532.4
2023-07-18,535.0,536.0,528.55,530.55
2023-07-19,531.0,534.25,529.4,531.3
2023-07-20,532.5,533.45,528.5,529.8
2023-07-21,532.5,533.45,529.15,529.9
2023-07-24,533.0,538.75,526.95,528.45
2023-07-25,528.45,532.4,520.3,524.5
2023-07-26,528.0,529.6,522.1,524.75
2023-07-27,528.95,529.0,519.0,522.2
2023-07-28,524.9,527.95,521.95,523.1
2023-07-31,524.95,528.5,515.35,520.55
2023-08-01,520.6,524.9,510.5,512.6
2023-08-02,513.0,519.95,498.9,501.65
2023-08-03,495.0,514.15,494.15,508.5
2023-08-04,513.0,521.95,509.55,515.55
2023-08-07,524.75,525.0,511.5,517.35
2023-08-08,522.0,524.5,517.5,518.6
2023-08-09,518.65,522.4,517.2,518.5
2023-08-10,518.5,522.0,507.0,511.6
2023-08-11,519.8,525.5,513.3,519.6
2023-08-14,504.0,543.95,504.0,539.15
2023-08-16,539.95,552.0,535.05,547.55
2023-08-17,546.9,567.3,545.7,563.3
2023-08-18,562.45,569.0,555.05,558.55
2023-08-21,562.8,562.8,546.55,558.15
2023-08-22,560.6,585.2,557.95,581.65
2023-08-23,585.9,600.0,580.7,589.8
2023-08-24,598.8,600.0,580.0,581.9
2023-08-25,583.0,598.0,582.95,593.85
2023-08-28,601.95,658.95,593.3,649.55
2023-08-29,648.8,680.8,635.4,648.75
2023-08-30,654.9,677.45,643.05,649.3
2023-08-31,656.0,678.95,651.05,670.45
