date,open,high,low,close
2023-07-03,938.0,1123.4,938.0,1120.65
2023-07-04,1110.0,1110.0,1033.0,1046.35
2023-07-05,1048.0,1073.9,1020.1,1039.75
2023-07-06,1050.0,1067.45,1038.2,1047.7
2023-07-07,1052.95,1057.5,1032.05,1040.65
2023-07-10,1050.0,1059.4,1015.05,1022.1
2023-07-11,1027.25,1069.9,1027.25,1055.6
2023-07-12,1059.85,1067.75,1037.65,1043.55
2023-07-13,1048.8,1057.0,1027.9,1030.65
2023-07-14,1049.7,1135.0,1038.15,1090.6
2023-07-17,1104.0,1144.7,1080.0,1097.3
2023-07-18,1107.0,1113.4,1050.05,1059.85
2023-07-19,1068.9,1087.95,1053.05,1064.8
2023-07-20,1073.9,1087.0,1067.0,1078.9
2023-07-21,1082.0,1087.15,1072.0,1080.4
2023-07-24,1089.05,1110.0,1082.0,1094.9
2023-07-25,1085.05,1131.0,1071.0,1076.1
2023-07-26,1078.1,1108.85,1065.0,1072.5
2023-07-27,1085.0,1088.5,1055.1,1061.3
2023-07-28,1070.75,1093.2,1050.0,1066.3
2023-07-31,1061.6,1100.0,1061.6,1097.0
2023-08-01,1108.0,1112.95,1089.45,1092.75
2023-08-02,1098.25,1098.35,1043.0,1071.8
2023-08-03,1071.75,1079.45,1057.75,1073.3
2023-08-04,1078.7,1123.0,1075.3,1094.95
2023-08-07,1098.15,1144.7,1088.25,1098.8
2023-08-08,1134.0,1162.45,1015.0,1072.4
2023-08-09,1070.0,1118.0,1066.0,1090.7
2023-08-10,1101.5,1111.95,1074.05,1076.5
2023-08-11,1087.5,1104.0,1072.05,1089.4
2023-08-14,1097.6,1126.2,1080.7,1088.75
2023-08-16,1088.75,1115.0,1081.05,1097.55
2023-08-17,1106.9,1120.0,1099.05,1112.3
2023-08-18,1120.0,1120.3,1080.0,1092.4
2023-08-21,1092.4,1119.95,1081.15,1090.1
2023-08-22,1095.6,1103.9,1080.0,1083.45
2023-08-23,1098.0,1099.0,1062.0,1064.8
2023-08-24,1085.0,1085.0,1046.1,1049.65
2023-08-25,1071.0,1090.0,1046.8,1057.85
2023-08-28,1082.9,1110.0,1080.0,1092.2
2023-08-29,1098.95,1109.0,1083.35,1090.45
2023-08-30,1092.7,1106.95,1085.8,1092.1
2023-08-31,1104.95,1109.3,1084.55,1092.65
