date,open,high,low,close
2023-07-03,3187.0,3190.0,3100.75,3136.4
2023-07-04,3161.75,3265.0,3143.3,3180.85
2023-07-05,3214.7,3230.0,3175.0,3214.75
2023-07-06,3233.0,3248.5,3181.05,3207.75
2023-07-09,3214.95,3235.25,3182.0,3190.55
2023-07-10,3193.0,3357.55,3191.05,3334.75
2023-07-11,3343.15,3373.0,3287.1,3328.45
2023-07-12,3342.0,3402.35,3314.45,3360.55
2023-07-13,3370.0,3392.0,3341.0,3363.35
2023-07-16,3359.95,3380.0,3328.5,3359.25
2023-07-17,3359.25,3570.0,3359.25,3493.9
2023-07-18,3535.0,3556.75,3493.0,3526.85
2023-07-19,3526.85,3548.0,3458.5,3512.8
2023-07-20,3515.0,3550.45,3478.05,3512.65
2023-07-23,3530.95,3617.6,3509.55,3555.95
2023-07-24,3569.9,3569.9,3461.55,3493.45
2023-07-25,3505.0,3586.8,3461.1,3481.85
2023-07-26,3490.05,3525.75,3477.0,3497.65
2023-07-27,3497.65,3548.85,3467.05,3513.95
2023-07-30,3532.4,3564.0,3434.0,3458.35
2023-07-31,3469.95,3520.0,3326.0,3376.35
2023-08-01,3380.0,3509.0,3380.0,3464.55
2023-08-02,3468.0,3555.0,3400.05,3418.4
2023-08-03,3449.0,3464.8,3397.4,3412.65
2023-08-06,3449.0,3565.0,3425.6,3540.3
2023-08-07,3569.0,3569.95,3535.0,3560.85
2023-08-08,3570.0,3642.8,3550.0,3598.45
2023-08-09,3603.2,3625.95,3550.0,3587.35
2023-08-10,3585.0,3645.0,3580.0,3600.65
2023-08-13,3610.0,3668.55,3545.0,3624.3
2023-08-15,3624.3,3640.0,3580.0,3598.9
2023-08-16,3599.9,3621.7,3510.0,3534.45
2023-08-17,3550.0,3660.0,3517.45,3623.45
2023-08-20,3629.95,3661.7,3582.3,3609.65
2023-08-21,3609.65,3642.0,3575.0,3597.35
2023-08-22,3605.0,3659.0,3598.15,3642.25
2023-08-23,3653.05,3669.45,3607.65,3649.6
2023-08-24,3648.0,3703.35,3619.8,3648.15
2023-08-27,3655.0,3720.0,3644.05,3661.9
2023-08-28,3664.95,3700.5,3640.2,3675.15
2023-08-29,3675.2,3700.5,3656.0,3699.9
2023-08-30,3702.0,3718.95,3656.0,3695.15
2023-08-31,3720.0,3744.0,3680.0,3703.8
