date,open,high,low,close
2023-07-03,607.6,648.7,597.05,618.1
2023-07-04,618.0,642.85,618.0,635.55
2023-07-05,638.0,640.5,623.55,625.9
2023-07-06,630.0,637.45,612.25,628.1
2023-07-09,629.0,639.0,627.5,636.8
2023-07-10,643.0,689.9,638.0,662.4
2023-07-11,668.9,685.0,662.05,665.1
2023-07-12,670.0,675.0,650.5,653.35
2023-07-13,663.15,675.0,655.1,671.2
2023-07-16,671.2,678.0,665.0,668.2
2023-07-17,670.85,677.95,667.6,671.05
2023-07-18,672.0,681.95,662.2,666.65
2023-07-19,660.25,701.0,660.25,697.6
2023-07-20,699.0,729.0,698.1,715.15
2023-07-23,728.0,728.0,710.0,715.85
2023-07-24,722.4,725.9,715.0,718.15
2023-07-25,711.85,723.45,707.0,711.85
2023-07-26,710.0,734.4,700.95,718.6
2023-07-27,718.6,733.9,714.2,728.8
2023-07-30,734.0,745.55,727.05,741.2
2023-07-31,747.5,804.0,746.95,779.05
2023-08-01,785.75,785.75,753.05,771.65
2023-08-02,768.4,804.2,762.15,787.6
2023-08-03,788.0,809.7,771.6,796.3
2023-08-06,790.05,845.25,785.3,816.75
2023-08-07,818.0,849.0,795.15,802.7
2023-08-08,801.25,832.75,801.25,826.1
2023-08-09,829.0,837.95,802.0,806.15
2023-08-10,879.95,880.0,795.65,803.55
2023-08-13,805.6,810.0,764.6,778.65
2023-08-15,784.85,804.9,770.0,800.3
2023-08-16,800.3,812.5,785.2,796.6
2023-08-17,790.9,800.0,771.05,775.05
2023-08-20,770.0,793.85,762.55,773.55
2023-08-21,777.65,791.95,765.5,770.7
2023-08-22,771.6,789.9,767.0,772.35
2023-08-23,777.15,781.7,765.15,771.3
2023-08-24,771.0,778.9,752.15,756.1
2023-08-27,767.3,793.95,754.95,788.3
2023-08-28,797.7,847.8,775.1,804.15
2023-08-29,828.7,828.7,792.1,795.65
2023-08-30,801.05,818.95,792.55,796.15
2023-08-31,794.5,803.7,790.0,795.35
