date,open,high,low,close
2023-07-03,877.0,919.65,852.2,860.2
2023-07-04,868.8,889.0,864.0,873.75
2023-07-05,873.75,886.9,873.75,877.3
2023-07-06,877.3,884.0,856.85,864.45
2023-07-09,862.95,878.35,825.5,831.3
2023-07-10,828.0,860.25,825.55,841.9
2023-07-11,850.0,858.15,835.2,844.15
2023-07-12,853.95,867.9,816.0,831.25
2023-07-13,828.0,854.9,828.0,849.85
2023-07-16,849.85,856.95,840.1,845.15
2023-07-17,840.05,865.0,832.5,860.5
2023-07-18,864.0,866.0,840.0,852.5
2023-07-19,857.95,872.55,840.5,851.0
2023-07-20,850.05,856.35,836.0,839.65
2023-07-23,838.5,847.95,831.3,841.2
2023-07-24,847.9,899.8,847.0,888.85
2023-07-25,880.0,880.0,831.3,835.2
2023-07-26,835.0,845.0,800.35,819.05
2023-07-27,825.0,828.8,815.05,822.95
2023-07-30,833.75,855.0,821.05,840.8
2023-07-31,840.8,852.0,818.85,844.95
2023-08-01,849.0,895.0,848.1,874.85
2023-08-02,874.95,885.0,850.05,865.9
2023-08-03,863.0,871.8,857.65,861.3
2023-08-06,866.9,879.8,853.0,856.1
2023-08-07,860.0,878.0,850.0,855.1
2023-08-08,861.1,866.0,841.9,846.2
2023-08-09,846.0,854.95,833.5,836.85
2023-08-10,840.0,840.0,825.0,829.6
2023-08-13,836.9,836.9,802.35,819.45
2023-08-15,823.55,828.95,817.0,822.4
2023-08-16,826.45,826.95,816.0,818.8
2023-08-17,819.6,854.5,816.5,837.0
2023-08-20,837.0,844.95,825.0,835.7
2023-08-21,830.2,850.75,827.0,844.05
2023-08-22,840.0,855.0,827.45,842.95
2023-08-23,849.1,849.9,832.0,836.95
2023-08-24,842.4,849.9,827.1,846.25
2023-08-27,854.7,856.95,833.0,838.45
2023-08-28,837.0,868.05,836.0,848.25
2023-08-29,849.0,850.0,832.45,840.3
2023-08-30,842.15,894.0,842.15,861.15
2023-08-31,861.5,869.95,846.0,851.7
