date,open,high,low,close
2023-06-01,1135.3,1152.0,1120.1,1142.85
2023-06-02,1142.75,1143.0,1124.4,1135.45
2023-06-05,1145.0,1175.0,1140.75,1167.5
2023-06-06,1173.25,1173.8,1148.6,1164.1
2023-06-07,1164.9,1183.0,1141.0,1177.95
2023-06-08,1184.0,1211.1,1176.55,1201.25
2023-06-09,1204.85,1229.0,1190.0,1227.75
2023-06-12,1230.0,1268.05,1228.1,1265.55
2023-06-13,1272.0,1298.0,1267.95,1293.75
2023-06-14,1303.0,1350.0,1301.0,1349.2
2023-06-15,1351.8,1352.0,1303.0,1311.85
2023-06-16,1319.8,1322.25,1290.0,1297.8
2023-06-19,1309.8,1334.85,1275.05,1325.2
2023-06-20,1320.7,1360.2,1304.2,1352.25
2023-06-21,1363.0,1369.9,1323.0,1334.85
2023-06-22,1330.3,1398.0,1330.3,1391.4
2023-06-23,1390.0,1394.65,1325.6,1337.2
2023-06-26,1345.95,1345.95,1300.25,1309.95
2023-06-27,1317.0,1354.0,1315.0,1337.8
2023-06-28,1347.0,1352.0,1310.5,1318.1
2023-06-30,1329.75,1329.75,1298.0,1305.3
2023-07-03,1362.0,1364.95,1324.0,1328.25
2023-07-04,1333.2,1340.45,1305.0,1312.1
2023-07-05,1314.35,1332.95,1305.9,1312.7
2023-07-06,1316.8,1339.95,1306.0,1329.1
2023-07-07,1320.0,1344.0,1308.45,1317.65
2023-07-10,1323.0,1329.9,1301.0,1308.1
2023-07-11,1335.95,1362.0,1310.0,1316.8
2023-07-12,1323.0,1330.0,1306.1,1310.75
2023-07-13,1323.6,1360.0,1313.05,1347.55
2023-07-14,1360.0,1360.0,1325.1,1331.55
2023-07-17,1339.95,1383.0,1332.5,1375.1
2023-07-18,1378.7,1386.0,1340.05,1346.8
2023-07-19,1355.0,1409.9,1351.0,1397.05
2023-07-20,1406.7,1419.5,1392.6,1409.1
2023-07-21,1408.8,1438.8,1402.1,1424.8
2023-07-24,1432.65,1490.0,1425.0,1434.8
2023-07-25,1473.0,1505.0,1459.55,1479.0
2023-07-26,1481.8,1498.0,1470.1,1494.35
2023-07-27,1505.0,1520.0,1498.05,1505.55
2023-07-28,1508.75,1545.0,1497.65,1538.65
2023-07-31,1466.0,1600.0,1466.0,1593.95
2023-08-01,1593.95,1600.0,1568.4,1587.15
2023-08-02,1585.9,1596.65,1564.0,1591.65
2023-08-03,1586.95,1586.95,1510.1,1516.75
2023-08-04,1526.7,1541.0,1514.5,1528.05
2023-08-07,1541.95,1568.85,1444.0,1477.3
2023-08-08,1485.0,1497.95,1451.1,1474.05
2023-08-09,1477.0,1540.0,1472.15,1527.5
2023-08-10,1538.0,1586.95,1534.3,1565.15
2023-08-11,1574.9,1574.9,1548.15,1551.85
2023-08-14,1551.0,1586.0,1543.7,1575.4
2023-08-16,1575.0,1638.0,1565.05,1575.65
2023-08-17,1584.75,1620.05,1554.3,1559.1
2023-08-18,1563.1,1577.8,1543.1,1549.75
2023-08-21,1553.8,1568.0,1509.9,1534.85
2023-08-22,1534.9,1600.0,1534.9,1562.45
2023-08-23,1579.9,1604.45,1565.0,1589.85
2023-08-24,1600.0,1663.9,1592.5,1655.6
2023-08-25,1667.95,1709.0,1633.35,1694.7
2023-08-28,1704.3,1710.0,1660.0,1668.8
2023-08-29,1650.0,1668.65,1611.15,1625.1
2023-08-30,1615.1,1645.0,1607.25,1637.15
2023-08-31,1639.3,1699.85,1615.5,1675.7
