date,open,high,low,close
2023-07-03,39.95,40.4,38.5,38.85
2023-07-04,39.7,39.7,38.5,39.0
2023-07-05,40.0,40.5,38.5,38.7
2023-07-06,38.9,39.25,38.1,38.8
2023-07-09,39.7,39.7,38.35,38.5
2023-07-10,39.35,39.6,38.45,39.3
2023-07-11,40.2,40.2,38.7,39.05
2023-07-12,38.8,39.4,37.8,38.05
2023-07-13,38.5,38.7,37.6,38.1
2023-07-16,38.9,39.95,37.85,39.25
2023-07-17,39.85,39.85,38.5,38.8
2023-07-18,40.0,46.55,39.4,46.55
2023-07-19,50.1,52.0,48.25,49.55
2023-07-20,49.55,49.55,46.4,48.55
2023-07-23,52.0,52.0,48.1,49.1
2023-07-24,50.0,50.7,47.3,48.7
2023-07-25,49.85,51.2,49.2,50.65
2023-07-26,50.75,51.8,48.8,49.3
2023-07-27,51.0,51.0,47.15,48.05
2023-07-30,49.3,49.3,48.0,48.1
2023-07-31,48.4,54.4,48.4,53.7
2023-08-01,53.65,53.65,50.4,51.8
2023-08-02,52.2,53.8,49.45,50.1
2023-08-03,50.7,60.0,50.5,58.95
2023-08-06,59.45,59.8,54.6,56.25
2023-08-07,56.3,59.5,56.0,56.95
2023-08-08,57.5,57.9,52.5,57.15
2023-08-09,58.0,58.0,55.15,55.7
2023-08-10,56.4,56.5,54.0,54.5
2023-08-13,55.55,55.55,52.6,54.2
2023-08-15,54.7,54.8,53.1,53.5
2023-08-16,54.0,54.75,53.25,53.5
2023-08-17,53.9,54.5,53.35,54.15
2023-08-20,54.95,56.75,53.75,55.35
2023-08-21,55.35,56.5,55.0,55.45
2023-08-22,56.45,57.0,55.6,56.5
2023-08-23,57.0,57.2,55.05,56.5
2023-08-24,57.4,57.4,53.55,54.65
2023-08-27,54.65,55.95,54.0,54.5
2023-08-28,54.5,55.45,53.7,54.05
2023-08-29,54.25,54.95,53.55,54.25
2023-08-30,54.3,56.9,54.3,55.15
2023-08-31,55.8,56.75,54.8,55.25
