date,open,high,low,close
2023-07-03,48.0,48.25,47.5,47.75
2023-07-04,47.8,48.65,47.4,47.8
2023-07-05,48.0,49.65,47.85,48.15
2023-07-06,48.2,48.7,47.65,47.95
2023-07-09,47.9,48.15,47.1,47.3
2023-07-10,47.7,47.9,47.15,47.55
2023-07-11,47.7,48.1,46.95,47.55
2023-07-12,47.55,48.15,46.8,46.95
2023-07-13,47.3,47.4,46.95,47.15
2023-07-16,47.05,47.8,47.05,47.45
2023-07-17,47.45,48.4,47.4,47.6
2023-07-18,47.65,48.0,47.35,47.45
2023-07-19,47.4,48.1,47.35,47.8
2023-07-20,48.15,48.7,47.4,48.3
2023-07-23,48.35,48.75,47.35,47.55
2023-07-24,47.2,47.8,46.8,46.9
2023-07-25,47.05,47.3,45.25,45.7
2023-07-26,45.7,46.95,45.7,46.25
2023-07-27,46.2,46.85,45.4,45.6
2023-07-30,45.9,46.3,45.0,45.3
2023-07-31,45.4,46.5,45.3,45.7
2023-08-01,45.05,45.9,44.2,45.05
2023-08-02,45.05,45.7,44.55,45.1
2023-08-03,45.2,46.05,45.15,45.5
2023-08-06,45.8,47.5,45.75,46.5
2023-08-07,46.9,47.25,46.25,46.8
2023-08-08,46.85,47.65,46.55,47.4
2023-08-09,47.7,50.0,47.1,48.8
2023-08-10,48.55,49.55,47.45,47.8
2023-08-13,47.9,49.2,47.1,48.6
2023-08-15,48.65,48.75,47.5,47.7
2023-08-16,48.0,52.45,47.2,51.25
2023-08-17,51.7,56.0,51.7,54.8
2023-08-20,55.2,56.95,53.0,54.6
2023-08-21,55.0,56.85,53.75,56.05
2023-08-22,56.7,57.2,54.75,55.05
2023-08-23,55.4,55.75,53.5,53.75
2023-08-24,53.3,56.25,53.05,55.35
2023-08-27,55.75,59.25,54.95,58.3
2023-08-28,59.0,61.75,58.6,60.95
2023-08-29,61.45,68.8,61.25,67.45
2023-08-30,69.0,70.7,65.55,66.15
2023-08-31,66.2,66.6,63.95,64.85
