date,open,high,low,close
2023-07-03,26.1,27.35,26.0,26.2
2023-07-04,26.65,26.9,26.25,26.55
2023-07-05,26.65,27.05,26.5,26.65
2023-07-06,26.65,26.9,25.05,25.4
2023-07-09,26.0,26.45,25.2,25.5
2023-07-10,25.75,25.85,24.6,25.1
2023-07-11,25.1,25.7,24.95,25.2
2023-07-12,25.55,25.55,25.0,25.25
2023-07-13,25.55,26.4,24.6,26.05
2023-07-16,26.05,26.25,25.55,25.8
2023-07-17,25.85,26.05,25.15,25.55
2023-07-18,25.75,25.85,25.2,25.55
2023-07-19,25.25,25.7,25.0,25.5
2023-07-20,25.85,25.85,25.1,25.6
2023-07-23,25.0,25.55,24.95,25.1
2023-07-24,25.45,25.7,25.05,25.15
2023-07-25,25.4,26.4,25.2,25.65
2023-07-26,25.95,26.35,25.55,25.95
2023-07-27,27.0,27.0,25.3,26.0
2023-07-30,26.45,26.45,25.55,25.75
2023-07-31,26.3,26.3,25.35,25.8
2023-08-01,26.0,26.25,25.5,26.0
2023-08-02,26.2,26.2,25.55,25.65
2023-08-03,26.2,26.2,25.65,25.95
2023-08-06,25.95,26.25,25.7,26.0
2023-08-07,26.25,28.8,25.9,27.15
2023-08-08,28.2,28.7,27.35,28.25
2023-08-09,28.85,30.0,28.35,29.7
2023-08-10,30.15,30.6,29.7,30.1
2023-08-13,29.15,29.5,27.4,27.6
2023-08-15,28.75,29.4,27.6,29.0
2023-08-16,29.6,31.7,28.9,31.25
2023-08-17,31.55,32.3,30.55,30.6
2023-08-20,31.4,31.4,29.2,29.7
2023-08-21,30.05,30.95,29.2,29.75
2023-08-22,30.25,30.95,29.7,29.8
2023-08-23,30.15,31.3,29.95,30.0
2023-08-24,30.8,30.8,28.5,28.85
2023-08-27,29.0,29.35,27.8,28.15
2023-08-28,28.85,30.65,28.15,29.8
2023-08-29,30.15,30.15,29.5,29.7
2023-08-30,29.8,30.0,29.45,29.65
2023-08-31,29.75,30.65,29.1,29.6
