date,open,high,low,close
2023-07-03,342.6,347.7,341.15,343.35
2023-07-04,343.4,345.9,338.25,340.3
2023-07-05,341.55,343.5,336.8,337.95
2023-07-06,339.55,342.85,325.0,328.75
2023-07-07,330.8,338.35,328.95,331.65
2023-07-10,333.6,333.95,328.0,329.5
2023-07-11,332.1,338.0,330.05,335.55
2023-07-12,337.65,338.0,332.25,333.15
2023-07-13,336.9,338.0,328.55,332.95
2023-07-14,336.7,336.7,332.5,333.9
2023-07-17,352.25,374.95,352.25,368.65
2023-07-18,379.0,395.0,376.2,384.25
2023-07-19,383.0,384.2,370.3,372.6
2023-07-20,372.65,376.05,366.25,368.2
2023-07-21,368.05,384.9,367.0,380.65
2023-07-24,380.65,384.7,372.0,377.5
2023-07-25,379.65,381.3,370.5,372.75
2023-07-26,373.7,375.35,361.1,365.9
2023-07-27,366.05,372.95,365.0,367.75
2023-07-28,365.1,369.9,362.45,363.95
2023-07-31,363.0,372.25,359.5,367.25
2023-08-01,369.5,384.25,363.0,374.05
2023-08-02,373.0,373.75,360.15,363.85
2023-08-03,364.8,373.45,363.85,369.4
2023-08-04,372.3,376.95,368.65,370.25
2023-08-07,373.15,379.0,372.0,374.05
2023-08-08,375.65,375.65,367.0,369.45
2023-08-09,371.65,383.0,368.0,376.75
2023-08-10,378.0,381.0,368.1,371.5
2023-08-11,373.4,376.5,362.5,366.4
2023-08-14,350.0,373.0,327.55,367.05
2023-08-16,366.0,389.0,360.65,379.35
2023-08-17,385.0,394.5,380.0,385.6
2023-08-18,384.0,389.4,372.0,373.8
2023-08-21,373.8,382.0,370.3,377.4
2023-08-22,379.85,383.9,377.55,380.05
2023-08-23,378.0,453.45,377.3,439.15
2023-08-24,458.85,459.0,440.1,444.25
2023-08-25,441.5,474.3,435.1,460.8
2023-08-28,490.25,542.3,478.05,532.5
2023-08-29,529.95,529.95,503.95,519.4
2023-08-30,521.9,571.3,520.3,571.3
2023-08-31,588.0,628.4,574.3,591.45
