date,open,high,low,close
2023-06-01,119.0,123.05,115.65,117.5
2023-06-02,120.8,134.3,120.05,125.6
2023-06-05,128.05,131.0,125.6,127.05
2023-06-06,128.25,128.25,123.5,124.6
2023-06-07,125.85,129.9,123.4,127.75
2023-06-08,126.45,128.65,122.8,123.15
2023-06-09,124.65,127.9,123.1,125.55
2023-06-12,126.75,126.8,122.55,124.35
2023-06-13,123.1,133.0,123.1,129.25
2023-06-14,129.95,132.5,127.4,131.15
2023-06-15,132.0,132.0,125.9,127.0
2023-06-16,128.25,130.0,126.4,128.75
2023-06-19,130.95,130.95,127.0,128.0
2023-06-20,128.3,129.9,125.15,127.4
2023-06-21,129.9,129.9,124.2,125.05
2023-06-22,125.85,127.0,121.5,125.1
2023-06-23,126.35,126.35,122.95,123.4
2023-06-26,126.95,126.95,122.0,122.15
2023-06-27,123.4,124.9,122.5,123.0
2023-06-28,122.4,129.7,122.4,126.65
2023-06-30,127.0,131.6,126.0,126.85
2023-07-03,126.5,128.65,124.35,124.95
2023-07-04,128.0,128.0,123.1,123.9
2023-07-05,124.0,125.5,123.0,123.2
2023-07-06,124.0,124.95,122.5,122.9
2023-07-07,122.0,128.0,121.4,126.15
2023-07-10,128.0,128.0,117.4,121.35
2023-07-11,120.5,127.15,120.5,126.55
2023-07-12,126.55,135.0,125.5,131.0
2023-07-13,132.45,134.95,128.0,128.6
2023-07-14,130.9,133.0,127.15,131.75
2023-07-17,128.25,134.9,128.25,130.9
2023-07-18,131.9,131.9,129.05,131.45
2023-07-19,127.1,128.4,124.05,124.7
2023-07-20,126.0,126.95,124.05,126.15
2023-07-21,126.15,128.7,122.2,123.6
2023-07-24,122.75,126.0,122.75,123.55
2023-07-25,124.95,124.95,123.05,123.3
2023-07-26,124.55,132.0,123.5,129.0
2023-07-27,129.0,130.5,126.0,126.45
2023-07-28,125.35,129.0,125.35,127.75
2023-07-31,126.0,128.05,125.0,125.3
2023-08-01,126.55,127.0,124.65,125.25
2023-08-02,125.5,130.0,124.0,127.0
2023-08-03,128.0,129.8,126.05,127.85
2023-08-04,129.9,135.0,128.45,134.25
2023-08-07,135.3,149.0,133.25,141.15
2023-08-08,142.4,146.3,129.15,135.25
2023-08-09,130.6,139.5,130.5,138.9
2023-08-10,139.95,142.75,136.85,140.5
2023-08-11,139.6,142.5,134.5,136.0
2023-08-14,136.05,138.0,133.0,135.85
2023-08-16,136.9,139.5,135.25,136.3
2023-08-17,135.55,139.0,133.4,138.1
2023-08-18,138.2,138.65,133.5,134.0
2023-08-21,134.95,137.8,132.05,133.05
2023-08-22,134.0,141.0,133.5,136.15
2023-08-23,136.2,143.0,136.2,138.05
2023-08-24,138.5,139.55,135.0,135.6
2023-08-25,135.9,136.5,133.0,133.75
2023-08-28,133.6,139.9,133.6,137.05
2023-08-29,136.7,138.85,134.2,134.65
2023-08-30,135.95,136.7,132.5,132.95
2023-08-31,134.05,134.45,132.0,132.75
