date,open,high,low,close
2023-07-03,2241.6,2279.0,2210.0,2232.7
2023-07-04,2243.65,2275.0,2194.6,2200.55
2023-07-05,2222.5,2233.55,2196.05,2216.4
2023-07-06,2212.0,2249.0,2185.85,2198.85
2023-07-09,2200.0,2248.75,2198.85,2206.3
2023-07-10,2228.75,2263.9,2190.0,2202.95
2023-07-11,2214.0,2265.35,2197.25,2248.5
2023-07-12,2248.5,2274.0,2195.45,2201.5
2023-07-13,2216.0,2232.8,2109.25,2157.3
2023-07-16,2165.0,2219.55,2160.0,2196.35
2023-07-17,2207.35,2233.0,2174.25,2198.0
2023-07-18,2209.0,2233.0,2182.05,2217.15
2023-07-19,2219.3,2245.0,2170.5,2186.3
2023-07-20,2184.0,2246.9,2162.8,2175.55
2023-07-23,2197.0,2220.5,2165.1,2176.2
2023-07-24,2190.0,2229.0,2181.6,2200.7
2023-07-25,2217.4,2228.75,2192.7,2197.3
2023-07-26,2184.0,2262.45,2178.35,2247.25
2023-07-27,2247.25,2247.25,2197.0,2220.65
2023-07-30,2230.35,2237.9,2126.2,2137.35
2023-07-31,2150.0,2218.7,2150.0,2183.6
2023-08-01,2195.0,2221.0,2175.05,2189.45
2023-08-02,2189.45,2225.0,2130.3,2165.7
2023-08-03,2145.0,2180.6,2067.05,2080.05
2023-08-06,2086.0,2100.4,2044.1,2089.15
2023-08-07,2099.6,2147.0,2076.25,2083.8
2023-08-08,2083.8,2130.7,2070.0,2120.8
2023-08-09,2138.0,2154.95,2126.55,2146.15
2023-08-10,2155.0,2155.0,2130.0,2145.6
2023-08-13,2149.9,2170.0,2109.0,2147.8
2023-08-15,2149.95,2190.0,2124.3,2178.3
2023-08-16,2179.0,2195.0,2140.0,2169.65
2023-08-17,2180.0,2190.0,2136.1,2170.9
2023-08-20,2151.0,2178.9,2147.85,2157.55
2023-08-21,2168.35,2190.0,2152.95,2176.1
2023-08-22,2190.0,2213.0,2173.45,2186.75
2023-08-23,2196.8,2199.9,2140.0,2156.85
2023-08-24,2140.0,2175.0,2140.0,2162.8
2023-08-27,2155.8,2183.95,2138.35,2145.55
2023-08-28,2156.3,2169.0,2129.4,2137.55
2023-08-29,2148.25,2175.0,2115.55,2167.45
2023-08-30,2167.45,2208.95,2163.25,2201.6
2023-08-31,2201.6,2250.9,2201.6,2232.0
