date,open,high,low,close
2023-07-03,541.75,543.15,530.0,531.3
2023-07-04,533.2,536.7,519.35,523.1
2023-07-05,525.0,528.0,519.0,523.9
2023-07-06,524.9,529.7,523.0,525.45
2023-07-07,526.95,544.0,525.7,533.5
2023-07-10,536.25,549.55,535.5,543.2
2023-07-11,545.7,545.7,537.0,541.65
2023-07-12,534.75,548.2,532.0,541.0
2023-07-13,541.0,546.25,538.55,540.85
2023-07-14,541.5,575.9,526.4,552.1
2023-07-17,556.3,566.65,551.25,559.35
2023-07-18,561.95,563.65,540.1,548.7
2023-07-19,554.45,554.5,540.35,542.0
2023-07-20,548.75,567.5,548.75,553.6
2023-07-21,551.0,573.8,545.45,570.35
2023-07-24,581.4,614.0,577.85,597.25
2023-07-25,598.8,604.0,587.4,595.5
2023-07-26,597.0,610.95,591.0,597.7
2023-07-27,599.7,599.7,578.75,584.7
2023-07-28,586.9,589.1,576.15,579.8
2023-07-31,581.5,597.95,578.2,586.15
2023-08-01,588.0,590.0,576.35,584.3
2023-08-02,580.2,589.7,561.0,570.35
2023-08-03,571.8,597.95,560.65,571.55
2023-08-04,574.0,587.2,571.15,573.65
2023-08-07,578.6,585.75,569.5,572.15
2023-08-08,575.7,576.0,565.0,570.6
2023-08-09,573.0,581.1,568.95,572.3
2023-08-10,569.1,576.3,554.85,558.05
2023-08-11,555.0,561.6,541.15,546.6
2023-08-14,546.6,547.0,533.25,535.25
2023-08-16,534.75,537.9,526.4,532.1
2023-08-17,533.7,545.15,533.7,541.05
2023-08-18,542.35,544.0,526.25,528.15
2023-08-21,520.0,533.0,518.45,529.5
2023-08-22,534.5,535.2,521.45,523.45
2023-08-23,526.3,531.0,520.0,524.05
2023-08-24,525.25,544.7,525.25,536.75
2023-08-25,535.0,536.85,523.55,526.35
2023-08-28,560.0,563.0,543.7,547.05
2023-08-29,551.7,554.65,540.75,541.8
2023-08-30,543.8,559.7,543.0,551.55
2023-08-31,553.55,584.0,550.3,577.7
