date,open,high,low,close
2023-07-03,7650.0,7920.0,7612.65,7860.45
2023-07-04,7879.95,7999.9,7780.0,7838.75
2023-07-05,7776.0,7824.0,7735.0,7766.25
2023-07-06,7720.0,7748.9,7605.6,7622.35
2023-07-09,7622.35,7629.95,7432.3,7533.25
2023-07-10,7567.0,7680.0,7381.0,7444.0
2023-07-11,7469.9,7508.0,7398.15,7431.95
2023-07-12,7469.95,7522.9,7416.0,7474.6
2023-07-13,7474.0,7518.9,7399.9,7482.35
2023-07-16,7520.0,7542.0,7442.0,7510.95
2023-07-17,7520.0,7555.0,7373.1,7420.0
2023-07-18,7441.95,7599.0,7430.0,7584.7
2023-07-19,7551.0,7637.15,7502.0,7596.6
2023-07-20,7596.6,7657.7,7533.1,7581.75
2023-07-23,7581.65,7644.8,7560.35,7581.6
2023-07-24,7649.4,7649.4,7541.05,7606.45
2023-07-25,7635.0,7734.0,7331.0,7433.15
2023-07-26,7577.9,7577.9,7267.7,7284.1
2023-07-27,7319.0,7394.6,7210.0,7381.6
2023-07-30,7345.0,7369.9,7281.05,7300.3
2023-07-31,7300.3,7330.0,7244.0,7269.7
2023-08-01,7290.0,7290.0,7145.0,7203.45
2023-08-02,7175.0,7224.3,7018.05,7108.35
2023-08-03,7139.0,7205.0,7071.3,7148.7
2023-08-06,7162.0,7182.75,7071.6,7122.15
2023-08-07,7135.0,7205.0,7085.15,7173.6
2023-08-08,7200.0,7214.0,7090.0,7125.35
2023-08-09,7100.05,7174.0,7092.0,7143.85
2023-08-10,7143.85,7159.0,7031.05,7060.6
2023-08-13,7040.0,7058.9,6940.55,7018.05
2023-08-15,6994.0,6994.0,6920.0,6981.5
2023-08-16,7020.0,7020.0,6903.0,6923.25
2023-08-17,6893.5,6915.8,6845.0,6862.1
2023-08-20,6801.0,7063.0,6801.0,7048.2
2023-08-21,7051.05,7153.5,7050.0,7069.95
2023-08-22,7100.0,7149.0,7003.0,7116.45
2023-08-23,7150.0,7185.95,7121.0,7137.45
2023-08-24,7115.0,7278.1,7101.0,7211.5
2023-08-27,7224.95,7261.0,7138.1,7235.6
2023-08-28,7250.0,7310.95,7236.0,7293.35
2023-08-29,7326.0,7330.9,7258.0,7268.1
2023-08-30,7280.0,7285.0,7135.0,7163.0
2023-08-31,7168.55,7329.4,7155.0,7320.6
