date,open,high,low,close
2023-07-03,59.65,61.25,58.7,59.0
2023-07-04,59.05,60.9,58.05,58.7
2023-07-05,58.9,61.65,58.6,60.0
2023-07-06,60.1,62.4,59.95,60.4
2023-07-07,60.0,61.5,58.6,59.1
2023-07-10,59.4,59.65,56.85,57.15
2023-07-11,57.4,58.7,57.05,57.2
2023-07-12,57.6,58.05,56.85,57.05
2023-07-13,57.45,57.55,55.15,55.35
2023-07-14,55.6,56.4,54.8,55.9
2023-07-17,56.2,61.75,55.85,59.65
2023-07-18,60.2,60.9,58.65,59.85
2023-07-19,60.2,61.8,59.5,59.75
2023-07-20,59.8,60.45,58.8,59.0
2023-07-21,58.75,59.4,58.0,58.35
2023-07-24,58.6,60.55,58.3,58.65
2023-07-25,58.95,59.95,58.25,58.5
2023-07-26,58.8,59.9,58.0,58.3
2023-07-27,58.55,60.2,58.3,58.4
2023-07-28,58.6,59.25,57.55,57.85
2023-07-31,58.25,59.3,56.5,57.6
2023-08-01,58.0,64.9,57.95,62.15
2023-08-02,62.3,66.15,62.2,63.6
2023-08-03,63.75,64.65,61.4,62.3
2023-08-04,62.4,64.1,62.0,62.45
2023-08-07,62.85,64.0,62.6,63.1
2023-08-08,63.3,63.3,60.8,61.45
2023-08-09,61.5,62.35,61.05,61.4
2023-08-10,61.5,64.75,61.5,62.85
2023-08-11,63.25,63.45,61.35,61.5
2023-08-14,61.45,61.65,59.05,59.55
2023-08-16,59.95,60.0,58.2,58.35
2023-08-17,58.6,61.9,58.6,60.1
2023-08-18,61.4,64.75,60.5,63.95
2023-08-21,64.5,65.9,63.0,64.85
2023-08-22,65.0,66.6,64.15,64.8
2023-08-23,64.8,66.15,63.5,63.9
2023-08-24,64.25,67.4,63.3,65.45
2023-08-25,65.15,66.1,63.55,63.75
2023-08-28,63.95,64.65,63.05,63.25
2023-08-29,63.7,64.3,62.55,62.75
2023-08-30,63.15,64.2,62.85,63.05
2023-08-31,63.45,65.1,62.85,63.15
