date,open,high,low,close
2023-06-01,9948.8,9948.95,9722.0,9737.55
2023-06-02,9760.05,9850.95,9756.05,9815.55
2023-06-05,9800.0,9890.25,9800.0,9867.7
2023-06-06,9870.0,9970.0,9865.25,9943.5
2023-06-07,9993.2,10072.45,9821.8,9925.95
2023-06-08,9925.95,10010.0,9918.95,9973.4
2023-06-09,9950.0,9998.8,9898.0,9959.95
2023-06-12,9902.0,9987.95,9833.0,9847.05
2023-06-13,9889.95,9964.85,9849.0,9875.15
2023-06-14,9875.0,9908.0,9800.0,9808.75
2023-06-15,9827.65,9886.25,9700.0,9740.3
2023-06-16,9793.3,9829.95,9738.05,9754.15
2023-06-19,9800.0,9850.0,9729.05,9772.65
2023-06-20,9790.25,9825.0,9717.55,9781.2
2023-06-21,9834.4,9855.0,9700.0,9704.3
2023-06-22,9720.05,9796.35,9625.0,9654.2
2023-06-23,9671.65,9719.85,9502.05,9511.1
2023-06-26,9582.45,9779.9,9416.05,9705.1
2023-06-27,9650.0,9748.9,9602.05,9650.6
2023-06-28,9700.0,9722.65,9600.0,9615.2
2023-06-30,9580.0,9711.2,9557.0,9586.25
2023-07-03,9502.1,9650.0,9502.1,9560.8
2023-07-04,9566.0,9620.95,9503.0,9546.1
2023-07-05,9546.95,9583.75,9505.0,9522.1
2023-07-06,9560.95,9560.95,9403.0,9411.95
2023-07-07,9410.9,9500.0,9410.0,9416.8
2023-07-10,9498.85,9498.85,9360.05,9428.4
2023-07-11,9440.1,9479.3,9243.1,9272.85
2023-07-12,9272.85,9357.45,9158.0,9170.8
2023-07-13,9175.0,9340.0,9075.9,9183.25
2023-07-14,9200.05,9300.0,9160.0,9184.0
2023-07-17,9122.0,9324.9,9122.0,9309.6
2023-07-18,9300.0,9550.0,9260.05,9321.8
2023-07-19,9325.0,9472.25,9291.15,9421.2
2023-07-20,9491.8,9515.3,9310.1,9416.7
2023-07-21,9316.0,9459.9,9280.0,9302.85
2023-07-24,9372.5,9372.55,9100.15,9141.9
2023-07-25,9150.0,9210.45,9050.0,9086.35
2023-07-26,9154.5,9154.5,8946.05,9001.65
2023-07-27,9091.65,9157.8,8822.55,8902.05
2023-07-28,8975.0,8995.05,8844.6,8943.35
2023-07-31,9000.0,9099.0,8902.05,8933.45
2023-08-01,9000.5,9151.65,9000.5,9125.7
2023-08-02,9180.0,9338.9,9150.0,9217.7
2023-08-03,9217.0,9264.8,9122.4,9154.45
2023-08-04,9088.1,9387.9,9033.55,9321.45
2023-08-07,9400.0,9400.0,9060.65,9303.7
2023-08-08,9367.0,9379.9,9233.2,9284.8
2023-08-09,9399.0,9399.0,9182.0,9203.55
2023-08-10,9067.2,9300.0,9060.3,9118.4
2023-08-11,9130.55,9157.6,8899.95,8926.85
2023-08-14,9049.0,9049.0,8760.0,8859.35
2023-08-16,8761.0,8899.0,8761.0,8843.6
2023-08-17,8932.05,8932.05,8800.75,8853.0
2023-08-18,8897.5,8927.95,8801.1,8831.2
2023-08-21,8897.4,8906.9,8743.85,8758.35
2023-08-22,8808.35,8850.0,8775.0,8815.35
2023-08-23,8881.0,8881.5,8800.05,8854.4
2023-08-24,8859.0,9460.45,8825.0,9116.6
2023-08-25,9144.25,9248.95,8990.05,9073.05
2023-08-28,9140.0,9294.95,9015.0,9207.75
2023-08-29,9185.0,9339.6,9185.0,9273.5
2023-08-30,9339.0,9479.05,9283.45,9410.4
2023-08-31,9400.0,9500.6,9320.0,9404.95
