date,open,high,low,close
2023-07-03,419.8,420.9,408.1,408.9
2023-07-04,411.6,414.35,403.3,408.9
2023-07-05,409.0,411.9,405.0,409.75
2023-07-06,412.0,418.0,410.25,415.8
2023-07-07,417.45,417.45,410.0,415.45
2023-07-10,417.0,417.0,405.0,410.4
2023-07-11,409.0,410.9,404.05,407.0
2023-07-12,408.4,418.75,408.4,416.0
2023-07-13,418.85,424.0,406.0,411.5
2023-07-14,417.0,432.7,410.1,429.2
2023-07-17,430.0,439.0,424.0,430.4
2023-07-18,448.0,448.0,414.35,426.3
2023-07-19,428.0,468.9,426.6,448.65
2023-07-20,453.0,467.7,450.0,454.7
2023-07-21,454.0,464.95,448.0,462.7
2023-07-24,465.75,479.5,465.5,470.95
2023-07-25,473.0,491.9,469.75,487.8
2023-07-26,489.05,490.0,462.3,474.15
2023-07-27,475.1,482.0,468.5,472.3
2023-07-28,473.0,476.95,462.55,473.5
2023-07-31,475.0,486.9,473.5,485.0
2023-08-01,488.0,491.4,481.25,484.2
2023-08-02,504.05,509.0,465.0,472.4
2023-08-03,475.1,485.8,475.1,481.3
2023-08-04,484.25,484.5,475.75,476.05
2023-08-07,479.0,487.1,477.0,483.5
2023-08-08,484.4,489.1,467.3,482.7
2023-08-09,484.9,496.85,482.5,491.55
2023-08-10,493.4,495.1,483.25,489.6
2023-08-11,492.95,493.0,482.0,488.15
2023-08-14,489.6,490.0,472.0,487.5
2023-08-16,488.65,489.45,477.4,479.65
2023-08-17,483.0,483.0,474.15,476.25
2023-08-18,476.0,485.8,475.0,478.7
2023-08-21,482.3,484.2,478.0,480.95
2023-08-22,483.9,499.8,481.95,489.5
2023-08-23,490.7,493.4,478.15,481.35
2023-08-24,483.4,484.9,476.0,478.45
2023-08-25,477.0,482.95,473.05,475.3
2023-08-28,476.75,488.0,476.75,485.55
2023-08-29,488.3,488.4,478.3,480.55
2023-08-30,483.5,483.5,477.65,481.3
2023-08-31,481.3,500.0,462.6,498.2
