date,open,high,low,close
2023-06-01,174.95,186.8,174.25,180.5
2023-06-02,181.65,184.0,180.9,181.2
2023-06-05,182.35,190.85,181.0,187.55
2023-06-06,187.95,189.45,184.5,185.9
2023-06-07,186.9,188.25,181.05,181.5
2023-06-08,182.3,187.45,177.05,177.9
2023-06-09,178.7,182.25,178.3,179.45
2023-06-12,180.4,184.05,178.55,181.55
2023-06-13,182.45,183.2,178.8,180.0
2023-06-14,180.5,182.75,178.2,179.5
2023-06-15,180.0,189.5,180.0,182.65
2023-06-16,183.6,183.85,178.55,179.45
2023-06-19,180.3,181.8,173.0,173.9
2023-06-20,174.05,179.85,172.5,175.45
2023-06-21,176.5,177.8,173.2,173.7
2023-06-22,173.7,174.45,167.65,169.55
2023-06-23,170.3,171.8,166.55,168.7
2023-06-26,167.05,171.0,166.5,168.4
2023-06-27,169.25,173.45,168.75,169.7
2023-06-28,171.05,171.95,167.75,168.4
2023-06-30,169.7,171.7,168.55,169.05
2023-07-03,170.35,176.0,169.5,173.65
2023-07-04,175.35,177.4,171.25,172.85
2023-07-05,173.45,175.9,172.25,173.6
2023-07-06,173.85,175.35,172.0,172.35
2023-07-07,172.3,173.25,167.55,169.85
2023-07-10,169.9,172.45,168.1,169.6
2023-07-11,170.3,172.3,168.05,168.7
2023-07-12,169.5,173.0,168.25,168.6
2023-07-13,169.1,170.8,166.25,167.5
2023-07-14,168.55,169.7,167.0,168.6
2023-07-17,169.5,172.8,168.6,169.75
2023-07-18,170.55,170.95,167.0,168.2
2023-07-19,169.0,182.85,166.4,181.3
2023-07-20,182.8,187.8,180.05,182.05
2023-07-21,181.3,186.8,178.05,180.9
2023-07-24,181.85,193.8,181.0,189.15
2023-07-25,190.6,197.25,183.1,184.9
2023-07-26,185.95,187.25,182.5,183.05
2023-07-27,184.4,193.55,184.35,186.95
2023-07-28,188.8,189.95,184.5,186.45
2023-07-31,187.75,196.35,186.1,189.6
2023-08-01,190.8,192.8,188.0,190.5
2023-08-02,191.25,198.8,184.05,186.8
2023-08-03,188.0,191.8,183.1,185.2
2023-08-04,186.5,196.9,186.05,187.8
2023-08-07,201.0,225.35,201.0,225.35
2023-08-08,233.0,237.0,212.0,214.8
2023-08-09,217.0,257.75,217.0,252.05
2023-08-10,257.8,257.8,233.35,240.2
2023-08-11,240.2,252.0,229.55,231.5
2023-08-14,231.4,231.4,213.55,221.2
2023-08-16,221.25,247.05,221.25,236.35
2023-08-17,235.95,237.95,229.2,230.65
2023-08-18,231.85,242.0,230.0,231.4
2023-08-21,234.95,257.4,234.95,250.4
2023-08-22,252.8,298.0,252.55,285.5
2023-08-23,288.4,318.0,287.25,313.05
2023-08-24,317.0,322.9,290.15,297.45
2023-08-25,297.8,315.0,296.4,307.55
2023-08-28,308.95,310.3,297.9,299.0
2023-08-29,298.5,306.5,292.0,295.6
2023-08-30,295.7,304.65,295.7,298.7
2023-08-31,299.0,303.95,293.1,300.85
