date,open,high,low,close
2023-06-01,6200.0,6296.9,6185.2,6206.5
2023-06-02,6248.25,6282.45,6165.0,6244.1
2023-06-05,6235.0,6300.0,6212.85,6277.6
2023-06-06,6277.6,6345.0,6257.9,6341.6
2023-06-07,6344.9,6400.0,6283.9,6374.1
2023-06-08,6374.95,6450.0,6374.95,6425.9
2023-06-09,6476.0,6625.0,6444.9,6578.7
2023-06-12,6600.0,6678.0,6550.1,6640.85
2023-06-13,6673.75,6673.8,6601.05,6655.1
2023-06-14,6655.0,6655.0,6590.0,6596.5
2023-06-15,6596.5,6638.9,6512.0,6622.05
2023-06-16,6628.65,6628.65,6572.25,6602.85
2023-06-19,6585.15,6669.0,6548.45,6650.9
2023-06-20,6679.1,6768.95,6590.75,6741.65
2023-06-21,6988.9,7260.0,6853.0,7227.1
2023-06-22,7265.1,7349.4,7180.0,7287.35
2023-06-23,7262.0,7307.8,7161.65,7251.0
2023-06-26,7287.95,7287.95,7120.0,7153.7
2023-06-27,7173.4,7207.0,7090.0,7201.8
2023-06-28,7239.0,7239.0,7180.0,7200.75
2023-06-30,7185.0,7288.0,7144.65,7245.55
2023-07-03,7195.2,7281.0,7195.2,7264.7
2023-07-04,7264.7,7345.0,7245.0,7281.45
2023-07-05,7237.0,7319.55,7180.0,7251.15
2023-07-06,7251.15,7450.0,7189.8,7342.1
2023-07-07,7380.65,7449.0,7228.05,7305.95
2023-07-10,7305.9,7305.9,7202.0,7261.95
2023-07-11,7300.2,7389.9,7227.5,7299.15
2023-07-12,7299.15,7386.0,7240.1,7355.95
2023-07-13,7394.7,7394.7,7280.0,7329.15
2023-07-14,7293.0,7480.0,7293.0,7409.4
2023-07-17,7450.0,7450.0,7376.0,7396.05
2023-07-18,7435.0,7435.0,7260.0,7340.25
2023-07-19,7330.0,7430.0,7276.3,7308.5
2023-07-20,7320.0,7346.85,7250.1,7309.35
2023-07-21,7309.35,7309.35,7222.9,7233.15
2023-07-24,7200.0,7279.0,7160.05,7220.9
2023-07-25,7229.0,7261.95,7091.1,7154.2
2023-07-26,7154.2,7299.9,7154.2,7282.65
2023-07-27,7300.0,7340.6,7100.0,7229.05
2023-07-28,7090.0,7090.0,6905.0,6926.75
2023-07-31,6954.95,7052.0,6690.0,6728.15
2023-08-01,6731.0,6768.95,6410.05,6611.3
2023-08-02,6690.0,6690.0,6507.05,6527.45
2023-08-03,6569.95,6575.35,6370.3,6398.7
2023-08-04,6450.0,6450.0,6252.0,6294.45
2023-08-07,6330.0,6537.95,6282.1,6466.55
2023-08-08,6528.4,6528.4,6325.0,6340.3
2023-08-09,6373.7,6427.95,6250.0,6304.9
2023-08-10,6304.9,6310.0,6198.6,6268.3
2023-08-11,6268.3,6290.6,6215.0,6221.75
2023-08-14,6299.95,6423.95,6195.25,6378.4
2023-08-16,6378.4,6475.0,6327.3,6442.7
2023-08-17,6480.0,6489.0,6300.0,6375.1
2023-08-18,6375.1,6468.5,6360.1,6441.65
2023-08-21,6408.2,6446.0,6381.2,6434.3
2023-08-22,6445.0,6495.0,6420.05,6481.5
2023-08-23,6485.0,6499.95,6425.25,6454.25
2023-08-24,6480.0,6496.0,6431.7,6478.45
2023-08-25,6478.7,6509.95,6380.4,6394.5
2023-08-28,6413.6,6425.35,6301.0,6319.95
2023-08-29,6324.0,6345.7,6255.0,6267.35
2023-08-30,6348.95,6348.95,6150.0,6240.25
2023-08-31,6273.05,6304.0,6202.1,6281.9
