date,open,high,low,close
2023-07-03,77.75,78.75,76.15,77.0
2023-07-04,77.4,77.8,75.4,75.7
2023-07-05,75.9,77.15,75.9,76.25
2023-07-06,76.8,76.8,74.6,75.85
2023-07-09,75.15,76.0,74.05,74.55
2023-07-10,74.55,75.1,73.45,73.85
2023-07-11,74.2,75.1,73.0,73.65
2023-07-12,73.95,75.6,72.8,73.15
2023-07-13,73.65,74.4,73.2,73.8
2023-07-16,74.35,76.2,73.85,75.6
2023-07-17,75.6,76.0,74.9,75.15
2023-07-18,75.15,75.6,74.0,74.3
2023-07-19,74.55,76.3,73.5,73.8
2023-07-20,73.9,74.5,70.55,71.25
2023-07-23,69.85,72.3,69.85,70.4
2023-07-24,70.9,70.95,69.5,69.7
2023-07-25,69.95,70.55,69.4,70.2
2023-07-26,70.7,71.0,69.7,69.9
2023-07-27,69.8,70.4,68.85,69.05
2023-07-30,69.7,72.0,69.55,70.9
2023-07-31,71.25,72.35,70.45,70.8
2023-08-01,70.75,71.85,68.9,70.15
2023-08-02,69.25,70.5,69.05,69.5
2023-08-03,70.0,70.8,69.75,70.15
2023-08-06,70.7,77.0,70.55,76.2
2023-08-07,76.95,77.85,75.0,75.65
2023-08-08,75.65,76.5,73.25,74.2
2023-08-09,74.0,75.25,73.15,73.35
2023-08-10,73.7,74.2,70.15,72.65
2023-08-13,72.6,72.6,69.7,70.9
2023-08-15,71.9,72.0,70.7,71.2
2023-08-16,71.1,71.7,70.55,71.25
2023-08-17,71.5,71.5,70.0,70.3
2023-08-20,70.5,71.5,70.25,71.05
2023-08-21,71.4,73.8,70.5,72.9
2023-08-22,73.85,74.3,72.7,73.05
2023-08-23,73.05,76.0,73.0,73.45
2023-08-24,73.35,73.85,72.0,72.6
2023-08-27,73.15,76.9,73.15,75.05
2023-08-28,75.65,83.1,75.5,82.7
2023-08-29,84.85,89.3,84.45,86.2
2023-08-30,86.75,88.45,82.0,82.35
2023-08-31,82.75,85.1,82.7,84.9
