date,open,high,low,close
2023-07-03,72.75,73.5,72.5,72.95
2023-07-04,73.3,73.35,72.7,73.15
2023-07-05,73.15,76.65,72.8,75.8
2023-07-06,75.8,76.7,74.75,75.05
2023-07-09,75.1,75.8,74.7,75.15
2023-07-10,75.25,75.75,74.5,74.8
2023-07-11,75.1,75.1,74.3,74.5
2023-07-12,74.65,75.8,74.5,75.05
2023-07-13,75.25,76.1,75.25,75.45
2023-07-16,75.95,76.35,74.9,75.9
2023-07-17,76.15,76.25,74.8,74.95
2023-07-18,75.1,76.5,74.8,75.0
2023-07-19,75.2,75.6,74.9,75.0
2023-07-20,74.95,75.4,74.7,74.95
2023-07-23,74.95,75.95,74.7,74.8
2023-07-24,75.1,76.05,74.85,74.95
2023-07-25,75.25,78.35,75.05,76.4
2023-07-26,76.8,77.5,76.05,76.35
2023-07-27,76.35,77.3,75.1,75.4
2023-07-30,75.9,78.8,75.5,78.3
2023-07-31,78.3,78.8,77.05,77.3
2023-08-01,77.4,78.25,76.3,76.8
2023-08-02,77.0,80.4,76.8,78.2
2023-08-03,78.6,80.35,77.35,78.8
2023-08-06,78.8,79.8,77.7,78.3
2023-08-07,78.4,78.6,77.3,78.1
2023-08-08,78.4,78.85,76.85,77.15
2023-08-09,77.45,78.7,77.05,77.2
2023-08-10,77.5,79.95,77.3,78.3
2023-08-13,78.25,79.1,76.7,78.35
2023-08-15,77.95,79.0,77.5,78.15
2023-08-16,78.15,78.95,77.35,77.55
2023-08-17,77.6,78.2,76.85,77.25
2023-08-20,77.5,78.0,77.1,77.65
2023-08-21,77.95,79.7,77.75,78.5
2023-08-22,78.85,84.55,78.7,83.85
2023-08-23,84.6,85.15,81.65,82.1
2023-08-24,82.0,83.1,80.55,81.2
2023-08-27,81.65,83.1,80.7,81.85
2023-08-28,82.0,83.45,81.9,83.1
2023-08-29,83.3,84.9,83.25,84.05
2023-08-30,84.3,85.2,82.15,83.2
2023-08-31,83.5,87.7,83.5,86.45
