date,open,high,low,close
2023-07-03,417.5,424.0,416.3,421.95
2023-07-04,424.0,441.95,420.0,423.6
2023-07-05,424.9,432.0,420.95,427.1
2023-07-06,430.0,440.0,422.05,428.5
2023-07-09,426.6,431.45,416.4,419.75
2023-07-10,419.7,420.4,411.0,413.2
2023-07-11,417.75,428.0,412.0,421.75
2023-07-12,424.0,433.95,411.9,414.4
2023-07-13,412.0,424.4,412.0,420.55
2023-07-16,415.0,428.4,415.0,422.45
2023-07-17,422.5,431.8,415.25,423.2
2023-07-18,427.35,428.8,416.05,425.2
2023-07-19,429.0,429.0,416.15,418.15
2023-07-20,415.05,423.55,415.05,417.8
2023-07-23,419.3,426.8,405.3,411.35
2023-07-24,406.0,414.75,402.6,405.9
2023-07-25,409.0,411.6,401.0,401.95
2023-07-26,407.95,415.0,401.75,411.4
2023-07-27,411.7,413.8,395.75,397.95
2023-07-30,397.95,404.1,383.0,398.7
2023-07-31,402.45,414.2,396.65,410.35
2023-08-01,410.35,410.95,387.9,400.05
2023-08-02,400.0,404.05,388.0,391.9
2023-08-03,390.2,406.15,390.1,396.7
2023-08-06,400.65,413.0,390.1,407.75
2023-08-07,411.8,415.0,401.0,413.0
2023-08-08,416.0,425.0,407.3,420.45
2023-08-09,421.0,433.75,413.0,424.35
2023-08-10,425.0,436.45,419.6,433.6
2023-08-13,431.0,444.4,385.05,388.75
2023-08-15,394.1,407.55,388.0,402.8
2023-08-16,405.65,407.75,398.4,404.05
2023-08-17,405.2,405.2,395.2,397.3
2023-08-20,390.7,401.0,388.95,393.45
2023-08-21,395.35,397.0,383.9,388.55
2023-08-22,393.6,393.6,386.0,389.2
2023-08-23,390.0,393.5,386.05,387.8
2023-08-24,387.75,393.4,385.45,390.2
2023-08-27,390.0,396.25,382.0,383.65
2023-08-28,384.05,409.9,384.05,405.75
2023-08-29,409.7,414.9,407.2,413.15
2023-08-30,414.0,419.9,405.05,410.55
2023-08-31,413.75,423.7,408.0,411.85
