date,open,high,low,close
2023-06-01,377.5,385.0,376.95,383.6
2023-06-02,384.8,386.4,377.65,379.9
2023-06-05,381.3,383.5,375.0,376.2
2023-06-06,376.2,376.2,364.2,368.4
2023-06-07,366.0,367.25,358.3,361.4
2023-06-08,363.1,371.75,361.0,362.0
2023-06-09,363.6,365.6,358.3,361.05
2023-06-12,361.05,376.9,356.25,370.8
2023-06-13,372.2,377.0,368.4,372.0
2023-06-14,374.0,380.8,369.2,378.5
2023-06-15,380.4,384.45,374.0,375.75
2023-06-16,377.55,395.7,376.0,385.25
2023-06-19,387.3,398.9,384.2,392.35
2023-06-20,393.85,394.0,385.1,388.4
2023-06-21,388.4,404.4,387.0,389.55
2023-06-22,390.4,392.4,383.1,384.45
2023-06-23,384.95,385.9,376.5,377.6
2023-06-26,377.95,382.7,372.05,381.25
2023-06-27,382.45,391.05,381.35,389.25
2023-06-28,390.8,394.8,383.3,385.6
2023-06-30,387.0,397.65,386.5,387.75
2023-07-03,389.9,410.7,389.3,401.4
2023-07-04,403.45,407.45,395.05,400.4
2023-07-05,401.45,443.5,400.5,427.2
2023-07-06,429.05,444.9,428.0,441.95
2023-07-07,442.05,458.5,438.4,441.55
2023-07-10,441.75,445.7,429.2,431.05
2023-07-11,430.85,448.15,427.05,443.35
2023-07-12,443.9,449.45,440.1,442.9
2023-07-13,444.8,454.45,431.3,435.85
2023-07-14,439.0,447.0,438.05,442.4
2023-07-17,438.0,438.0,421.9,424.65
2023-07-18,426.0,442.5,423.1,434.8
2023-07-19,437.0,443.5,432.35,442.2
2023-07-20,444.25,450.95,437.4,440.5
2023-07-21,441.45,445.55,437.7,442.9
2023-07-24,445.55,452.7,435.75,442.9
2023-07-25,400.0,413.15,397.75,400.5
2023-07-26,398.55,409.5,395.05,405.8
2023-07-27,400.3,406.0,399.0,400.4
2023-07-28,400.0,404.8,396.05,397.5
2023-07-31,398.9,405.95,398.4,403.4
2023-08-01,405.45,413.3,403.05,412.45
2023-08-02,415.95,418.5,408.55,415.1
2023-08-03,415.1,419.7,412.05,413.45
2023-08-04,391.0,392.95,384.0,385.05
2023-08-07,385.05,385.05,364.0,370.65
2023-08-08,370.65,379.75,370.65,374.5
2023-08-09,376.1,376.6,371.6,373.3
2023-08-10,374.0,378.45,371.65,374.65
2023-08-11,375.5,379.5,374.75,376.5
2023-08-14,376.8,376.8,365.55,367.4
2023-08-16,364.0,364.0,348.3,350.3
2023-08-17,350.8,365.6,350.8,360.55
2023-08-18,360.55,360.55,353.05,354.6
2023-08-21,353.95,373.7,347.9,369.25
2023-08-22,372.95,382.0,372.85,375.95
2023-08-23,375.0,375.25,366.8,368.6
2023-08-24,368.6,380.2,368.6,374.6
2023-08-25,376.5,388.5,375.0,383.6
2023-08-28,385.55,391.75,383.6,386.2
2023-08-29,387.0,424.0,387.0,422.2
2023-08-30,422.1,425.2,407.65,409.5
2023-08-31,414.0,423.0,412.5,419.65
