date,open,high,low,close
2023-07-03,640.0,643.0,620.9,623.1
2023-07-04,623.0,627.85,616.05,619.45
2023-07-05,621.0,638.8,619.45,631.35
2023-07-06,631.1,655.0,626.5,652.4
2023-07-09,657.0,660.5,645.0,650.75
2023-07-10,656.95,660.55,642.05,645.15
2023-07-11,650.0,664.0,648.3,652.2
2023-07-12,663.6,663.6,641.05,649.65
2023-07-13,655.0,663.0,647.0,659.05
2023-07-16,664.0,668.9,649.1,654.55
2023-07-17,654.55,687.0,642.5,668.25
2023-07-18,673.5,674.85,651.85,660.65
2023-07-19,664.0,667.8,652.55,658.7
2023-07-20,663.0,663.0,628.0,636.55
2023-07-23,640.0,660.35,635.5,657.9
2023-07-24,675.0,679.5,655.5,659.25
2023-07-25,669.9,679.8,661.1,664.35
2023-07-26,672.0,677.95,662.05,674.0
2023-07-27,673.25,677.8,657.4,661.9
2023-07-30,668.45,691.6,630.0,636.55
2023-07-31,639.1,704.2,639.1,687.65
2023-08-01,689.95,697.85,682.2,690.4
2023-08-02,693.05,720.0,691.05,718.1
2023-08-03,720.0,729.0,704.55,719.3
2023-08-06,718.95,718.95,696.2,697.9
2023-08-07,701.8,712.1,694.0,709.75
2023-08-08,712.8,714.8,704.05,708.35
2023-08-09,712.5,714.9,703.5,707.7
2023-08-10,709.75,716.9,703.65,708.0
2023-08-13,719.9,749.0,709.05,741.9
2023-08-15,745.25,786.0,745.25,757.5
2023-08-16,757.5,774.4,757.5,769.7
2023-08-17,747.95,759.85,724.1,732.4
2023-08-20,740.95,745.95,727.05,732.9
2023-08-21,739.9,755.0,725.8,749.95
2023-08-22,751.35,755.0,744.9,747.15
2023-08-23,753.6,757.2,731.05,738.85
2023-08-24,744.0,750.0,722.4,744.3
2023-08-27,744.3,760.0,744.3,753.05
2023-08-28,759.75,775.0,755.0,772.15
2023-08-29,784.0,794.7,764.3,771.1
2023-08-30,766.95,785.95,757.0,766.3
2023-08-31,773.95,793.5,765.25,787.9
