date,open,high,low,close
2023-07-03,292.55,292.55,286.55,286.95
2023-07-04,286.95,291.45,286.0,286.75
2023-07-05,286.75,290.05,285.3,285.85
2023-07-06,285.85,290.0,281.55,289.65
2023-07-07,286.65,288.3,284.85,286.0
2023-07-10,286.4,293.8,286.0,290.75
2023-07-11,291.7,298.8,289.65,296.75
2023-07-12,298.95,301.4,292.5,293.6
2023-07-13,295.0,295.5,289.2,289.75
2023-07-14,290.9,293.75,289.35,292.4
2023-07-17,293.9,294.85,291.15,293.3
2023-07-18,293.7,296.45,287.85,289.3
2023-07-19,290.7,296.75,289.35,293.45
2023-07-20,294.95,298.65,294.05,295.55
2023-07-21,295.5,295.5,288.8,290.85
2023-07-24,290.85,292.2,289.6,289.9
2023-07-25,291.1,292.15,286.5,287.25
2023-07-26,288.55,292.5,286.8,291.45
2023-07-27,293.0,293.1,287.5,288.6
2023-07-28,289.95,294.95,289.1,293.45
2023-07-31,295.6,295.8,292.15,293.9
2023-08-01,296.5,297.0,290.65,292.15
2023-08-02,292.0,292.0,286.1,287.05
2023-08-03,286.6,295.2,285.6,292.15
2023-08-04,295.0,300.45,292.95,297.15
2023-08-07,299.0,302.5,296.6,301.15
2023-08-08,302.95,305.0,297.9,304.05
2023-08-09,306.85,307.9,302.0,305.75
2023-08-10,307.5,309.35,302.7,303.8
2023-08-11,305.0,305.2,293.25,295.55
2023-08-14,295.0,302.75,291.35,300.35
2023-08-16,299.85,300.0,281.6,282.7
2023-08-17,283.2,291.75,281.15,290.45
2023-08-18,290.45,292.45,287.0,290.8
2023-08-21,290.4,294.05,289.85,291.85
2023-08-22,294.85,298.6,290.7,298.05
2023-08-23,306.0,316.35,301.5,308.9
2023-08-24,311.6,311.6,305.0,305.7
2023-08-25,305.0,305.7,299.25,301.15
2023-08-28,301.5,305.3,300.7,301.6
2023-08-29,301.85,305.1,299.55,302.35
2023-08-30,304.95,305.6,301.1,303.95
2023-08-31,303.0,304.5,297.35,300.05
