date,open,high,low,close
2023-06-01,74.35,74.35,72.15,73.7
2023-06-02,72.6,72.6,69.15,71.35
2023-06-05,73.55,73.55,71.3,71.6
2023-06-06,71.6,74.7,71.6,73.15
2023-06-07,74.5,74.5,71.75,72.3
2023-06-08,72.0,72.3,69.3,70.0
2023-06-09,70.65,71.8,69.55,70.2
2023-06-12,71.6,71.6,70.2,71.05
2023-06-13,71.3,73.45,70.35,72.9
2023-06-14,72.95,73.3,71.6,72.25
2023-06-15,72.0,73.3,71.75,72.25
2023-06-16,72.65,73.0,72.0,72.3
2023-06-19,72.5,72.5,69.2,70.4
2023-06-20,70.4,73.0,70.4,72.7
2023-06-21,72.7,73.3,71.25,71.55
2023-06-22,71.4,72.7,69.85,70.3
2023-06-23,70.9,70.9,68.95,69.85
2023-06-26,70.6,72.5,69.15,69.8
2023-06-27,71.0,71.7,69.5,70.05
2023-06-28,70.65,70.65,69.0,69.3
2023-06-30,68.75,70.15,67.05,68.75
2023-07-03,69.25,69.7,67.65,68.55
2023-07-04,69.0,69.55,68.5,68.8
2023-07-05,68.8,69.45,67.4,68.2
2023-07-06,68.8,69.45,68.0,68.15
2023-07-07,68.35,69.4,66.85,68.95
2023-07-10,69.75,69.75,68.0,68.15
2023-07-11,68.85,68.85,67.5,67.95
2023-07-12,68.75,68.75,67.2,67.4
2023-07-13,68.45,69.4,66.0,66.6
2023-07-14,66.9,67.9,65.85,66.85
2023-07-17,68.25,69.0,66.9,68.3
2023-07-18,69.0,69.0,66.3,67.3
2023-07-19,67.9,69.2,66.9,68.85
2023-07-20,69.1,70.1,67.7,69.1
2023-07-21,69.8,76.0,69.05,71.55
2023-07-24,72.4,84.6,72.4,81.35
2023-07-25,81.45,85.85,81.35,82.2
2023-07-26,82.55,84.05,81.4,82.0
2023-07-27,81.7,84.4,80.6,81.2
2023-07-28,80.1,82.8,78.4,79.9
2023-07-31,80.0,84.0,80.0,82.35
2023-08-01,81.6,83.75,80.7,82.25
2023-08-02,82.0,85.9,78.75,79.7
2023-08-03,80.5,81.5,78.95,79.6
2023-08-04,80.55,83.05,79.75,80.75
2023-08-07,80.7,82.2,79.95,81.2
2023-08-08,80.6,85.8,80.6,81.75
2023-08-09,82.15,82.75,78.95,80.1
2023-08-10,80.1,81.15,77.7,78.3
2023-08-11,79.9,80.7,74.15,74.9
2023-08-14,76.4,76.4,73.65,73.8
2023-08-16,74.0,76.35,71.55,71.95
2023-08-17,72.8,75.35,72.45,73.05
2023-08-18,73.05,74.9,70.55,71.6
2023-08-21,71.2,72.65,70.05,71.15
2023-08-22,71.3,73.55,70.9,72.05
2023-08-23,72.6,74.9,72.05,74.55
2023-08-24,74.0,75.0,73.2,73.55
2023-08-25,74.0,74.5,72.0,73.05
2023-08-28,73.6,76.0,73.05,75.65
2023-08-29,75.75,76.4,74.4,75.55
2023-08-30,76.0,78.35,75.0,77.6
2023-08-31,77.85,79.55,77.1,77.7
