date,open,high,low,close
2023-07-03,749.0,749.0,710.0,726.3
2023-07-04,741.2,741.9,711.0,714.5
2023-07-05,732.35,742.0,713.05,731.9
2023-07-06,731.7,731.7,715.05,719.8
2023-07-07,716.2,729.0,708.0,713.9
2023-07-10,713.9,717.0,704.0,709.1
2023-07-11,709.4,725.0,700.0,704.65
2023-07-12,705.05,754.0,705.0,729.9
2023-07-13,744.0,744.0,712.55,714.5
2023-07-14,720.0,739.0,714.1,731.3
2023-07-17,735.0,740.6,715.95,724.95
2023-07-18,730.75,734.0,708.0,712.2
2023-07-19,720.0,727.45,709.0,713.3
2023-07-20,720.0,720.0,707.0,710.2
2023-07-21,720.0,735.0,712.0,717.1
2023-07-24,721.6,726.0,708.0,711.95
2023-07-25,711.95,723.9,709.0,712.4
2023-07-26,714.05,724.0,712.5,713.35
2023-07-27,713.4,717.65,699.1,702.5
2023-07-28,717.95,718.65,705.0,706.55
2023-07-31,714.5,752.0,703.0,724.75
2023-08-01,734.0,734.0,679.0,705.4
2023-08-02,700.05,710.95,700.05,710.15
2023-08-03,710.15,710.2,702.15,709.65
2023-08-04,710.0,715.0,696.05,702.9
2023-08-07,705.1,709.8,704.0,706.3
2023-08-08,706.4,710.9,706.3,709.3
2023-08-09,699.0,703.95,690.15,699.95
2023-08-10,727.9,727.9,690.0,690.75
2023-08-11,709.4,710.0,697.6,699.9
2023-08-14,698.4,700.95,690.0,691.6
2023-08-16,699.95,700.0,692.15,696.6
2023-08-17,701.0,702.5,691.0,692.85
2023-08-18,693.8,697.95,690.0,693.9
2023-08-21,715.0,715.0,690.0,691.65
2023-08-22,708.0,708.0,690.0,694.35
2023-08-23,714.35,714.35,691.35,693.0
2023-08-24,717.0,717.0,700.0,709.35
2023-08-25,721.0,721.0,700.4,708.55
2023-08-28,721.75,721.75,700.0,701.0
2023-08-29,703.35,707.95,701.0,702.0
2023-08-30,702.0,713.0,700.0,702.55
2023-08-31,703.75,709.95,701.1,709.15
