date,open,high,low,close
2023-07-03,933.4,1001.95,927.4,959.6
2023-07-04,964.8,983.0,928.05,932.9
2023-07-05,940.9,954.15,922.35,933.9
2023-07-06,938.4,976.65,930.05,947.2
2023-07-07,956.0,965.0,928.05,933.55
2023-07-10,936.8,968.8,926.45,940.9
2023-07-11,945.8,955.3,915.05,919.3
2023-07-12,928.9,934.15,912.0,920.05
2023-07-13,929.85,929.85,903.05,912.75
2023-07-14,919.95,924.8,901.55,908.25
2023-07-17,917.3,944.75,896.0,901.4
2023-07-18,906.7,909.85,870.0,874.45
2023-07-19,879.9,895.7,879.0,885.8
2023-07-20,893.9,919.8,876.0,907.4
2023-07-21,921.0,930.3,887.0,892.05
2023-07-24,900.0,930.0,877.05,914.55
2023-07-25,924.5,947.95,917.85,924.25
2023-07-26,933.0,942.3,905.3,912.05
2023-07-27,918.0,918.0,890.0,898.7
2023-07-28,896.3,900.0,884.2,894.3
2023-07-31,909.7,928.45,877.1,889.9
2023-08-01,897.95,923.8,895.0,909.4
2023-08-02,909.5,928.0,886.35,908.3
2023-08-03,905.0,946.7,885.65,891.2
2023-08-04,899.0,912.0,882.25,886.8
2023-08-07,900.1,914.95,887.1,912.2
2023-08-08,912.2,934.75,905.3,924.1
2023-08-09,930.45,943.95,812.7,839.85
2023-08-10,852.0,852.0,761.6,797.2
2023-08-11,809.0,906.05,799.05,890.3
2023-08-14,900.0,910.0,870.55,882.7
2023-08-16,882.7,893.0,872.6,884.4
2023-08-17,888.0,988.45,880.5,926.6
2023-08-18,932.25,938.8,910.2,912.85
2023-08-21,918.85,923.7,889.6,893.1
2023-08-22,899.65,928.6,888.0,902.05
2023-08-23,902.05,948.15,901.0,907.9
2023-08-24,928.7,935.0,898.1,907.2
2023-08-25,910.0,929.8,887.5,895.95
2023-08-28,904.85,906.85,876.1,884.8
2023-08-29,884.0,909.4,881.35,903.3
2023-08-30,909.8,917.0,903.95,911.6
2023-08-31,919.9,920.45,897.3,917.3
