date,open,high,low,close
2023-07-03,5114.9,5204.75,5085.05,5188.4
2023-07-04,5185.0,5201.8,5137.0,5178.35
2023-07-05,5178.45,5258.5,5170.0,5231.8
2023-07-06,5230.0,5273.15,5110.0,5182.5
2023-07-09,5194.95,5215.0,5145.0,5154.95
2023-07-10,5144.0,5215.0,5113.55,5165.85
2023-07-11,5150.0,5198.95,5130.0,5189.0
2023-07-12,5190.0,5203.15,5134.9,5142.45
2023-07-13,5155.0,5164.9,5076.25,5092.05
2023-07-16,5099.65,5245.0,5093.0,5229.75
2023-07-17,5203.5,5215.7,5146.55,5191.0
2023-07-18,5184.0,5270.0,5161.6,5221.35
2023-07-19,5249.0,5394.7,5240.0,5339.3
2023-07-20,5323.3,5339.75,5277.6,5288.2
2023-07-23,5278.25,5436.85,5278.25,5391.7
2023-07-24,5420.0,5479.95,5391.85,5425.4
2023-07-25,5440.0,5490.0,5401.05,5475.65
2023-07-26,5530.0,5614.0,5420.05,5507.0
2023-07-27,5512.0,5618.0,5512.0,5583.0
2023-07-30,5584.55,5660.4,5570.0,5640.45
2023-07-31,5639.85,5709.35,5607.1,5667.05
2023-08-01,5667.1,5695.85,5634.45,5660.45
2023-08-02,5645.0,5734.0,5621.5,5659.5
2023-08-03,5659.6,5711.0,5640.0,5649.55
2023-08-06,5660.0,5688.0,5618.9,5630.7
2023-08-07,5652.0,5738.95,5645.0,5657.95
2023-08-08,5671.1,5883.75,5671.1,5871.0
2023-08-09,5880.1,5916.65,5806.0,5851.15
2023-08-10,5854.0,5885.05,5808.15,5823.0
2023-08-13,5829.95,5879.0,5800.0,5823.35
2023-08-15,5830.0,5889.5,5775.0,5857.85
2023-08-16,5871.35,5907.05,5855.9,5880.65
2023-08-17,5899.5,5980.0,5840.6,5874.45
2023-08-20,5870.25,5925.0,5853.95,5910.85
2023-08-21,5919.0,5945.0,5872.8,5925.55
2023-08-22,5920.0,5974.95,5912.0,5953.35
2023-08-23,5980.0,5989.7,5891.2,5907.15
2023-08-24,5890.0,5890.0,5770.55,5779.25
2023-08-27,5780.0,5829.0,5727.2,5775.9
2023-08-28,5770.0,5786.5,5715.0,5723.8
2023-08-29,5737.8,5756.05,5640.0,5649.75
2023-08-30,5649.75,5695.0,5590.0,5607.85
2023-08-31,5630.0,5634.25,5550.1,5578.55
