date,open,high,low,close
2023-06-01,198.0,199.45,196.0,197.9
2023-06-02,200.35,200.35,198.35,198.35
2023-06-05,199.95,205.1,198.25,200.8
2023-06-06,200.8,201.9,198.05,199.1
2023-06-07,200.05,200.05,197.1,198.8
2023-06-08,198.5,200.0,198.5,199.1
2023-06-09,198.3,215.0,198.3,211.45
2023-06-12,214.55,219.0,202.0,209.4
2023-06-13,212.45,212.45,205.2,208.8
2023-06-14,209.0,222.95,205.0,211.95
2023-06-15,209.15,216.0,209.15,211.35
2023-06-16,209.7,214.35,208.0,208.85
2023-06-19,207.85,212.0,207.25,207.95
2023-06-20,210.0,210.0,205.55,207.1
2023-06-21,210.15,212.0,205.4,206.95
2023-06-22,207.0,210.0,206.55,206.8
2023-06-23,206.1,215.0,205.55,207.9
2023-06-26,210.8,216.8,207.15,211.45
2023-06-27,208.5,213.95,207.2,208.05
2023-06-28,208.2,238.8,208.2,220.3
2023-06-30,222.9,227.05,217.3,220.5
2023-07-03,220.45,220.45,212.3,213.4
2023-07-04,213.4,217.65,210.8,214.1
2023-07-05,215.05,217.75,211.3,213.1
2023-07-06,213.5,214.95,211.35,212.95
2023-07-07,212.3,216.4,209.3,211.7
2023-07-10,210.0,210.2,200.35,201.95
2023-07-11,203.25,206.8,200.5,203.95
2023-07-12,202.25,206.8,201.1,205.45
2023-07-13,206.4,212.0,202.1,203.75
2023-07-14,203.65,210.0,203.65,204.0
2023-07-17,204.2,208.0,204.2,206.35
2023-07-18,206.0,209.95,204.6,208.8
2023-07-19,211.8,218.0,211.5,215.0
2023-07-20,217.9,229.0,215.0,216.8
2023-07-21,217.9,219.95,210.5,211.9
2023-07-24,211.8,213.6,207.05,212.0
2023-07-25,208.3,226.8,208.3,213.8
2023-07-26,213.8,215.8,210.95,213.15
2023-07-27,211.0,214.0,208.2,211.7
2023-07-28,211.7,217.95,210.0,211.85
2023-07-31,217.8,217.8,210.0,211.85
2023-08-01,214.95,215.0,208.85,210.3
2023-08-02,219.1,219.1,207.1,209.65
2023-08-03,210.05,213.4,207.5,211.75
2023-08-04,208.05,216.1,208.05,209.85
2023-08-07,211.0,214.45,208.85,211.7
2023-08-08,211.3,212.0,209.4,210.25
2023-08-09,210.25,213.75,208.25,211.25
2023-08-10,211.15,211.2,203.1,204.8
2023-08-11,206.9,206.95,203.8,205.35
2023-08-14,209.95,209.95,202.55,204.05
2023-08-16,204.55,206.5,203.55,205.8
2023-08-17,203.95,212.8,203.9,205.2
2023-08-18,206.0,209.0,206.0,207.5
2023-08-21,209.8,209.9,205.0,205.25
2023-08-22,206.05,208.95,206.05,207.6
2023-08-23,207.6,209.45,206.5,206.85
2023-08-24,206.9,210.0,206.9,209.25
2023-08-25,209.2,209.2,204.25,205.1
2023-08-28,209.15,210.8,206.0,209.1
2023-08-29,209.1,213.0,206.95,211.5
2023-08-30,213.0,216.4,210.0,212.25
2023-08-31,211.15,216.0,211.15,212.15
