date,open,high,low,close
2023-07-03,40.85,42.5,40.65,42.3
2023-07-04,42.5,42.95,41.1,41.6
2023-07-05,41.45,42.35,41.2,41.65
2023-07-06,41.6,42.25,41.35,41.75
2023-07-07,41.6,41.9,40.85,41.2
2023-07-10,41.4,43.75,41.0,43.2
2023-07-11,43.4,43.9,42.85,43.5
2023-07-12,43.95,44.6,43.0,44.0
2023-07-13,44.25,44.65,43.8,44.0
2023-07-14,44.2,44.5,43.65,43.85
2023-07-17,44.15,44.3,43.85,44.05
2023-07-18,44.1,44.15,42.95,43.65
2023-07-19,43.75,43.75,42.45,42.55
2023-07-20,42.55,42.85,41.95,42.15
2023-07-21,42.0,42.8,41.9,42.15
2023-07-24,42.2,42.6,41.7,41.8
2023-07-25,41.95,42.0,41.05,41.25
2023-07-26,41.25,41.85,41.15,41.7
2023-07-27,41.9,42.1,40.85,41.0
2023-07-28,41.05,41.75,40.75,41.0
2023-07-31,41.45,41.6,40.3,40.55
2023-08-01,41.0,42.0,40.7,41.15
2023-08-02,41.25,41.8,40.5,40.7
2023-08-03,40.6,41.05,40.15,40.4
2023-08-04,40.65,40.9,40.35,40.45
2023-08-07,41.15,41.15,40.0,40.05
2023-08-08,40.15,41.45,40.1,40.7
2023-08-09,40.85,41.05,40.4,40.55
2023-08-10,40.65,41.0,40.3,40.5
2023-08-11,40.75,40.8,40.25,40.35
2023-08-14,40.55,41.4,39.85,40.6
2023-08-16,40.15,40.3,39.5,39.6
2023-08-17,39.6,40.0,38.25,38.45
2023-08-18,38.3,39.0,37.25,37.35
2023-08-21,37.5,38.5,37.5,37.8
2023-08-22,38.0,38.35,37.3,37.5
2023-08-23,37.7,41.35,37.0,39.05
2023-08-24,39.45,41.05,39.3,39.8
2023-08-25,39.65,40.4,39.3,40.05
2023-08-28,40.4,40.5,39.9,40.1
2023-08-29,40.2,40.4,40.0,40.3
2023-08-30,40.3,41.8,40.3,41.45
2023-08-31,41.7,42.55,40.8,41.55
