date,open,high,low,close
2023-06-01,1634.0,1644.0,1604.0,1607.9
2023-06-02,1615.0,1640.0,1585.9,1612.8
2023-06-05,1624.0,1720.0,1605.15,1714.8
2023-06-06,1715.0,1757.95,1695.0,1710.4
2023-06-07,1725.0,1739.95,1681.0,1684.9
2023-06-08,1684.9,1717.0,1669.6,1704.25
2023-06-09,1717.5,1719.25,1694.25,1712.9
2023-06-12,1714.0,1722.0,1700.0,1714.2
2023-06-13,1717.5,1735.0,1651.0,1668.6
2023-06-14,1666.0,1699.0,1590.0,1598.95
2023-06-15,1608.95,1639.95,1600.0,1632.5
2023-06-16,1637.1,1681.0,1637.1,1659.2
2023-06-19,1670.05,1798.0,1670.05,1780.0
2023-06-20,1782.0,1819.95,1730.4,1762.6
2023-06-21,1769.4,1785.0,1724.05,1733.45
2023-06-22,1749.95,1775.0,1717.05,1752.3
2023-06-23,1757.0,1757.0,1686.1,1693.95
2023-06-26,1695.0,1760.0,1693.95,1736.65
2023-06-27,1744.6,1745.8,1681.6,1693.1
2023-06-28,1709.75,1720.0,1681.05,1687.9
2023-06-30,1696.8,1747.65,1611.0,1624.95
2023-07-03,1641.75,1657.35,1597.95,1643.85
2023-07-04,1660.05,1660.05,1625.1,1641.2
2023-07-05,1649.0,1654.65,1611.0,1615.1
2023-07-06,1617.0,1690.0,1601.05,1677.45
2023-07-07,1684.05,1699.85,1625.0,1692.45
2023-07-10,1698.95,1764.0,1671.45,1753.0
2023-07-11,1762.0,1790.0,1751.3,1772.25
2023-07-12,1772.25,1772.25,1728.1,1742.7
2023-07-13,1745.4,1753.8,1687.0,1698.05
2023-07-14,1714.0,1742.7,1705.0,1731.7
2023-07-17,1739.0,1842.0,1736.4,1827.7
2023-07-18,1829.95,1852.4,1795.0,1809.85
2023-07-19,1826.8,1826.8,1768.05,1791.4
2023-07-20,1790.05,1805.25,1759.25,1764.55
2023-07-21,1748.5,1780.0,1740.05,1768.95
2023-07-24,1769.0,1805.0,1740.3,1775.15
2023-07-25,1777.9,1777.9,1721.85,1729.0
2023-07-26,1730.0,1738.1,1681.0,1696.85
2023-07-27,1703.1,1719.65,1632.1,1650.05
2023-07-28,1666.55,1730.0,1662.9,1712.7
2023-07-31,1722.95,1754.95,1701.0,1719.3
2023-08-01,1729.4,1735.0,1706.6,1716.75
2023-08-02,1716.75,1727.0,1665.0,1703.55
2023-08-03,1700.0,1726.95,1678.0,1720.2
2023-08-04,1728.15,1744.5,1692.25,1701.95
2023-08-07,1705.0,1779.9,1702.05,1761.15
2023-08-08,1767.0,1774.9,1741.05,1770.5
2023-08-09,1770.6,1775.4,1750.0,1767.4
2023-08-10,1740.0,1757.5,1708.35,1743.35
2023-08-11,1730.0,1730.0,1687.4,1709.45
2023-08-14,1709.45,1710.6,1660.05,1698.7
2023-08-16,1695.0,1698.2,1629.0,1642.8
2023-08-17,1651.4,1666.0,1617.0,1650.25
2023-08-18,1648.3,1658.5,1627.25,1647.65
2023-08-21,1647.65,1652.0,1625.0,1628.15
2023-08-22,1648.0,1648.0,1612.9,1617.0
2023-08-23,1624.0,1633.8,1601.05,1609.15
2023-08-24,1609.15,1652.55,1597.6,1600.95
2023-08-25,1582.6,1639.0,1582.0,1601.5
2023-08-28,1625.0,1637.05,1602.35,1618.2
2023-08-29,1618.25,1635.35,1606.1,1631.45
2023-08-30,1639.45,1662.95,1626.6,1649.05
2023-08-31,1651.2,1655.95,1606.8,1624.1
