date,open,high,low,close
2023-06-01,148.5,152.5,148.1,149.15
2023-06-02,149.2,152.15,147.6,147.75
2023-06-05,148.25,149.8,132.05,144.0
2023-06-06,144.0,151.0,144.0,150.2
2023-06-07,148.0,150.35,145.45,147.5
2023-06-08,145.0,149.05,145.0,146.05
2023-06-09,146.65,148.7,146.0,146.65
2023-06-12,148.95,148.95,146.0,146.65
2023-06-13,143.75,152.1,143.75,146.65
2023-06-14,147.7,148.35,144.3,145.4
2023-06-15,145.5,147.0,144.4,144.9
2023-06-16,147.95,148.2,144.95,145.45
2023-06-19,143.3,147.65,143.3,144.65
2023-06-20,148.0,150.7,147.5,148.2
2023-06-21,148.2,148.95,146.5,148.2
2023-06-22,148.35,152.95,148.1,151.75
2023-06-23,154.0,182.1,152.55,182.1
2023-06-26,188.8,192.0,161.3,164.15
2023-06-27,165.4,165.9,153.0,154.65
2023-06-28,159.55,161.6,156.2,158.65
2023-06-30,158.65,161.45,155.1,156.65
2023-07-03,159.5,168.0,155.5,164.85
2023-07-04,168.0,170.95,165.0,168.6
2023-07-05,174.0,174.0,167.55,171.4
2023-07-06,170.3,173.75,170.0,172.4
2023-07-07,168.6,170.15,166.2,169.1
2023-07-10,163.0,168.5,163.0,167.85
2023-07-11,170.1,170.1,163.0,166.4
2023-07-12,165.0,169.95,158.0,160.8
2023-07-13,155.1,165.0,155.1,158.05
2023-07-14,158.35,161.05,152.1,154.8
2023-07-17,152.1,156.45,145.0,146.9
2023-07-18,149.0,149.05,145.5,146.1
2023-07-19,146.15,149.2,145.1,146.35
2023-07-20,149.95,151.7,146.55,148.4
2023-07-21,149.5,150.55,148.0,148.5
2023-07-24,148.5,151.9,148.0,148.85
2023-07-25,155.0,155.0,139.05,143.45
2023-07-26,149.0,149.0,138.15,142.75
2023-07-27,146.75,154.8,145.6,151.55
2023-07-28,152.75,153.0,148.55,150.9
2023-07-31,150.9,152.1,149.75,151.5
2023-08-01,151.1,153.0,148.55,150.75
2023-08-02,150.45,150.45,148.5,149.2
2023-08-03,150.9,150.9,143.0,145.1
2023-08-04,153.0,153.0,144.6,147.55
2023-08-07,143.0,149.55,142.1,143.85
2023-08-08,144.9,150.05,142.35,144.1
2023-08-09,144.5,145.55,137.75,140.7
2023-08-10,140.7,142.4,136.9,137.75
2023-08-11,143.1,149.9,140.0,141.4
2023-08-14,147.0,147.0,137.5,138.55
2023-08-16,140.75,140.75,137.65,137.85
2023-08-17,137.5,148.0,137.5,139.35
2023-08-18,140.9,152.0,139.55,146.0
2023-08-21,150.5,150.5,143.6,144.2
2023-08-22,146.95,146.95,142.2,143.45
2023-08-23,145.95,146.95,144.0,145.8
2023-08-24,148.0,148.0,143.8,144.8
2023-08-25,142.1,145.95,142.1,144.2
2023-08-28,145.0,145.3,141.0,142.3
2023-08-29,143.05,144.45,139.5,141.4
2023-08-30,139.2,144.6,139.2,143.3
2023-08-31,144.0,144.05,142.15,142.5
