date,open,high,low,close
2023-06-01,86.7,88.75,86.65,87.7
2023-06-02,88.5,89.0,86.65,87.15
2023-06-05,87.25,88.15,86.2,87.25
2023-06-06,87.7,88.65,87.1,88.35
2023-06-07,88.85,89.25,86.85,87.25
2023-06-08,87.65,88.25,83.55,84.3
2023-06-09,84.75,85.6,83.7,84.3
2023-06-12,84.7,85.85,82.35,85.55
2023-06-13,85.55,87.95,85.55,87.05
2023-06-14,87.6,88.3,85.9,87.8
2023-06-15,86.8,88.05,86.65,87.25
2023-06-16,87.25,88.45,85.6,86.2
2023-06-19,86.1,88.3,85.8,87.9
2023-06-20,87.9,90.4,87.05,88.8
2023-06-21,90.0,90.95,86.75,87.2
2023-06-22,87.7,88.1,84.0,84.9
2023-06-23,84.9,85.0,81.6,82.05
2023-06-26,81.85,85.5,80.1,84.8
2023-06-27,85.6,89.45,85.25,86.25
2023-06-28,87.1,90.0,86.1,88.6
2023-06-30,89.2,90.9,88.25,90.1
2023-07-03,90.8,92.15,89.7,91.0
2023-07-04,91.7,91.95,90.35,91.25
2023-07-05,91.5,92.55,89.9,91.65
2023-07-06,92.4,94.9,91.5,93.35
2023-07-07,93.75,94.15,92.0,93.95
2023-07-10,93.4,94.35,91.25,91.8
2023-07-11,92.2,93.9,91.5,93.5
2023-07-12,93.9,94.4,92.95,93.85
2023-07-13,93.3,97.1,92.85,93.2
2023-07-14,93.7,95.6,93.55,95.15
2023-07-17,95.95,97.1,94.25,96.25
2023-07-18,96.5,96.7,95.7,96.05
2023-07-19,96.4,97.3,95.8,96.2
2023-07-20,96.2,97.0,96.05,96.45
2023-07-21,96.85,99.15,95.85,96.45
2023-07-24,97.85,99.05,95.0,95.45
2023-07-25,96.25,97.7,95.3,95.8
2023-07-26,96.15,97.5,95.4,97.1
2023-07-27,97.7,101.2,97.0,99.15
2023-07-28,99.0,99.5,96.05,98.7
2023-07-31,99.4,100.8,93.1,94.75
2023-08-01,95.5,95.55,91.55,91.8
2023-08-02,91.5,91.5,88.5,89.85
2023-08-03,89.2,89.5,85.0,88.0
2023-08-04,88.9,90.3,87.5,87.95
2023-08-07,88.0,88.35,85.35,86.4
2023-08-08,87.25,91.45,87.0,91.15
2023-08-09,91.5,91.75,89.45,91.15
2023-08-10,91.6,91.75,86.3,86.8
2023-08-11,87.5,88.35,86.4,87.3
2023-08-14,88.05,88.05,85.45,85.75
2023-08-16,85.75,86.05,84.2,85.4
2023-08-17,84.8,85.0,82.9,83.15
2023-08-18,83.15,84.7,82.1,82.6
2023-08-21,82.85,84.85,82.2,82.55
2023-08-22,82.8,86.5,82.6,86.1
2023-08-23,86.25,86.7,84.5,84.65
2023-08-24,85.2,86.15,83.65,85.0
2023-08-25,85.0,85.85,83.8,84.2
2023-08-28,84.6,84.75,82.6,82.9
2023-08-29,83.0,87.25,83.0,86.85
2023-08-30,87.5,87.75,85.85,86.8
2023-08-31,88.0,92.0,86.85,90.5
