date,open,high,low,close
2023-07-03,4060.0,4060.0,4000.15,4026.65
2023-07-04,4043.9,4100.0,4036.35,4055.7
2023-07-05,4051.3,4148.25,4051.3,4112.45
2023-07-06,4149.85,4174.55,4040.0,4141.7
2023-07-09,4154.0,4199.0,4081.75,4184.15
2023-07-10,4183.25,4274.95,4117.0,4139.45
2023-07-11,4160.15,4281.95,4142.4,4245.6
2023-07-12,4270.0,4298.55,4241.55,4268.1
2023-07-13,4300.0,4400.0,4251.0,4327.8
2023-07-16,4350.0,4487.0,4349.95,4417.1
2023-07-17,4440.0,4484.0,4413.3,4447.25
2023-07-18,4489.85,4500.0,4456.05,4495.5
2023-07-19,4495.5,4585.0,4460.0,4528.9
2023-07-20,4491.05,4638.0,4476.6,4587.2
2023-07-23,4600.05,4710.95,4600.05,4633.35
2023-07-24,4650.0,4703.65,4592.0,4638.7
2023-07-25,4612.0,4722.8,4611.9,4701.5
2023-07-26,4723.0,4849.0,4700.0,4814.1
2023-07-27,4814.1,4838.2,4752.0,4828.2
2023-07-30,4765.75,4860.0,4675.6,4804.9
2023-07-31,4828.95,4911.0,4808.4,4851.65
2023-08-01,4851.65,4900.0,4754.0,4800.4
2023-08-02,4824.45,4824.45,4672.0,4692.95
2023-08-03,4716.45,4769.95,4676.0,4723.95
2023-08-06,4751.25,4769.8,4700.0,4737.6
2023-08-07,4760.1,4773.9,4588.0,4637.0
2023-08-08,4659.0,4688.0,4576.6,4597.2
2023-08-09,4560.2,4729.85,4560.2,4663.55
2023-08-10,4715.0,4905.25,4715.0,4880.15
2023-08-13,4905.35,5120.0,4882.3,5054.5
2023-08-15,5079.5,5140.0,5048.4,5099.05
2023-08-16,5153.15,5222.45,5085.55,5198.85
2023-08-17,5190.0,5355.95,5176.8,5327.15
2023-08-20,5400.0,5798.0,5327.15,5620.5
2023-08-21,5620.5,5797.0,5597.4,5755.6
2023-08-22,5755.6,5850.0,5700.0,5746.1
2023-08-23,5746.15,5848.45,5490.05,5551.4
2023-08-24,5578.95,5687.0,5549.55,5636.55
2023-08-27,5636.55,5724.9,5575.0,5687.9
2023-08-28,5716.35,5778.6,5550.0,5591.15
2023-08-29,5619.15,5644.95,5501.0,5528.65
2023-08-30,5528.65,5558.55,5360.0,5417.05
2023-08-31,5361.1,5537.0,5360.0,5400.05
