date,open,high,low,close
2023-06-01,1234.0,1260.9,1228.05,1253.35
2023-06-02,1265.0,1332.0,1251.05,1276.0
2023-06-05,1288.0,1299.5,1268.15,1279.25
2023-06-06,1279.25,1369.85,1263.0,1321.85
2023-06-07,1327.25,1379.05,1324.25,1368.25
2023-06-08,1378.0,1378.0,1302.05,1338.75
2023-06-09,1352.15,1355.15,1288.55,1306.2
2023-06-12,1319.0,1319.0,1285.95,1300.15
2023-06-13,1300.15,1317.65,1229.35,1254.4
2023-06-14,1266.25,1350.0,1266.2,1344.0
2023-06-15,1350.0,1350.0,1302.0,1307.45
2023-06-16,1319.0,1334.7,1283.0,1321.25
2023-06-19,1329.95,1348.8,1319.0,1328.95
2023-06-20,1330.0,1382.4,1330.0,1347.55
2023-06-21,1349.95,1359.75,1318.55,1323.4
2023-06-22,1336.65,1339.3,1299.0,1308.9
2023-06-23,1322.8,1322.8,1292.6,1298.8
2023-06-26,1304.95,1313.9,1277.05,1284.95
2023-06-27,1294.0,1312.0,1279.65,1304.5
2023-06-28,1291.1,1434.95,1291.1,1366.1
2023-06-30,1375.0,1456.05,1360.95,1444.95
2023-07-03,1473.65,1513.85,1432.4,1442.15
2023-07-04,1451.9,1499.95,1432.85,1486.55
2023-07-05,1527.85,1527.85,1468.05,1510.8
2023-07-06,1520.0,1525.15,1495.0,1497.15
2023-07-07,1490.3,1549.0,1490.3,1511.0
2023-07-10,1500.0,1540.0,1500.0,1515.1
2023-07-11,1524.9,1524.9,1480.05,1490.4
2023-07-12,1498.8,1498.8,1450.0,1462.4
2023-07-13,1466.0,1499.0,1453.05,1475.9
2023-07-14,1504.4,1538.95,1475.0,1479.25
2023-07-17,1499.95,1499.95,1458.9,1490.75
2023-07-18,1492.85,1492.85,1444.1,1460.15
2023-07-19,1460.15,1499.0,1458.95,1494.15
2023-07-20,1505.0,1515.0,1472.4,1499.05
2023-07-21,1480.05,1515.0,1465.1,1483.8
2023-07-24,1491.8,1530.0,1468.15,1491.05
2023-07-25,1482.25,1515.0,1474.0,1480.85
2023-07-26,1480.85,1518.95,1468.0,1475.2
2023-07-27,1475.2,1488.9,1385.1,1401.65
2023-07-28,1409.95,1445.85,1395.1,1421.5
2023-07-31,1427.8,1436.8,1385.55,1412.0
2023-08-01,1416.0,1452.85,1408.05,1438.15
2023-08-02,1452.5,1452.5,1389.05,1402.2
2023-08-03,1388.0,1450.4,1388.0,1430.65
2023-08-04,1445.0,1465.9,1421.05,1448.8
2023-08-07,1585.0,1700.0,1520.0,1544.4
2023-08-08,1566.4,1618.0,1548.7,1560.9
2023-08-09,1569.0,1582.95,1516.05,1542.75
2023-08-10,1552.0,1573.95,1516.1,1530.55
2023-08-11,1540.0,1660.0,1530.0,1637.65
2023-08-14,1649.0,1650.0,1587.4,1637.05
2023-08-16,1615.0,1649.0,1610.0,1613.8
2023-08-17,1607.6,1630.0,1595.05,1609.85
2023-08-18,1650.0,1672.0,1611.2,1648.4
2023-08-21,1650.0,1661.55,1615.1,1634.2
2023-08-22,1649.0,1676.85,1611.0,1634.05
2023-08-23,1616.5,1662.95,1616.5,1657.0
2023-08-24,1667.0,1667.0,1617.0,1625.05
2023-08-25,1625.05,1643.0,1593.8,1619.65
2023-08-28,1625.4,1645.0,1595.0,1604.8
2023-08-29,1609.9,1615.85,1576.05,1594.85
2023-08-30,1610.0,1675.25,1606.05,1628.8
2023-08-31,1632.9,1665.0,1615.25,1658.15
