date,open,high,low,close
2023-06-01,300.05,305.75,300.05,302.05
2023-06-02,304.4,309.4,302.0,307.35
2023-06-05,309.7,316.6,308.65,312.0
2023-06-06,314.0,336.8,310.75,332.2
2023-06-07,336.8,341.95,330.45,333.8
2023-06-08,335.0,338.25,325.8,327.45
2023-06-09,329.0,329.1,317.75,319.2
2023-06-12,320.05,326.95,315.9,320.7
2023-06-13,320.75,333.85,320.75,328.7
2023-06-14,331.75,389.4,326.0,376.75
2023-06-15,378.5,409.75,377.15,389.25
2023-06-16,391.8,393.9,372.0,373.75
2023-06-19,376.05,390.0,374.0,380.45
2023-06-20,381.9,433.7,375.5,416.75
2023-06-21,420.0,437.7,407.4,413.7
2023-06-22,415.9,431.5,406.0,423.9
2023-06-23,426.9,429.0,411.85,415.65
2023-06-26,415.05,426.8,410.0,418.5
2023-06-27,420.45,471.85,419.15,462.35
2023-06-28,472.05,478.0,453.4,460.7
2023-06-30,460.0,462.8,430.3,434.4
2023-07-03,436.6,478.8,426.95,470.0
2023-07-04,463.0,476.9,455.35,471.8
2023-07-05,468.0,491.2,463.0,481.5
2023-07-06,479.0,486.75,472.3,476.05
2023-07-07,475.0,480.25,465.6,469.15
2023-07-10,471.5,471.5,435.2,455.65
2023-07-11,458.7,487.8,455.7,475.7
2023-07-12,475.0,478.75,466.3,470.25
2023-07-13,472.7,510.75,471.75,489.35
2023-07-14,491.45,505.65,486.05,494.0
2023-07-17,496.55,505.8,488.5,490.95
2023-07-18,493.45,501.65,475.3,483.7
2023-07-19,487.0,503.8,476.45,490.55
2023-07-20,493.0,501.0,485.0,491.55
2023-07-21,490.0,494.7,485.0,486.65
2023-07-24,489.0,495.0,482.5,485.0
2023-07-25,487.6,488.7,475.15,477.7
2023-07-26,479.9,481.45,463.25,466.85
2023-07-27,469.05,488.25,468.5,478.45
2023-07-28,480.3,485.65,473.35,476.95
2023-07-31,476.95,480.8,472.25,474.45
2023-08-01,476.85,503.9,475.2,495.45
2023-08-02,487.0,501.0,467.15,478.8
2023-08-03,479.9,480.15,460.1,472.7
2023-08-04,475.1,482.7,469.35,476.15
2023-08-07,478.25,483.0,470.0,471.55
2023-08-08,474.05,481.6,471.0,473.8
2023-08-09,475.85,475.85,463.9,466.75
2023-08-10,468.25,469.25,442.3,453.45
2023-08-11,451.0,456.9,441.25,444.25
2023-08-14,438.1,441.25,416.3,418.6
2023-08-16,416.5,460.5,413.15,455.2
2023-08-17,460.0,468.65,457.7,461.85
2023-08-18,463.95,465.95,446.5,452.55
2023-08-21,453.0,454.2,443.0,444.3
2023-08-22,446.7,466.0,446.6,453.85
2023-08-23,455.9,480.75,453.65,469.65
2023-08-24,473.5,477.35,465.05,467.55
2023-08-25,466.4,466.4,455.0,458.8
2023-08-28,457.05,467.25,457.0,460.15
2023-08-29,462.4,470.15,452.3,463.0
2023-08-30,465.5,467.2,460.85,463.55
2023-08-31,464.7,468.85,460.2,463.65
