date,open,high,low,close
2023-07-03,1057.5,1079.9,1040.1,1061.85
2023-07-04,1069.9,1076.5,1040.1,1044.45
2023-07-05,1040.1,1059.0,1015.0,1019.95
2023-07-06,1025.0,1028.5,1001.0,1017.85
2023-07-09,1001.0,1048.9,1001.0,1033.75
2023-07-10,1038.95,1048.0,1029.45,1039.2
2023-07-11,1049.0,1069.35,1036.8,1058.85
2023-07-12,1064.0,1070.0,1036.65,1046.55
2023-07-13,1035.0,1067.9,1033.1,1039.65
2023-07-16,1044.85,1070.0,1030.05,1053.5
2023-07-17,1055.0,1069.75,1044.1,1053.45
2023-07-18,1058.75,1070.0,1034.75,1042.85
2023-07-19,1050.0,1062.0,1025.05,1033.95
2023-07-20,1030.0,1052.0,1027.9,1039.55
2023-07-23,1040.0,1064.05,1039.3,1050.95
2023-07-24,1050.0,1060.0,1044.1,1046.0
2023-07-25,1040.0,1063.75,1040.0,1051.5
2023-07-26,1050.0,1065.0,1035.0,1040.65
2023-07-27,1040.0,1069.9,1028.5,1038.35
2023-07-30,1050.0,1059.9,1022.0,1027.7
2023-07-31,1030.0,1055.0,1028.0,1039.1
2023-08-01,1044.0,1045.0,1015.15,1017.15
2023-08-02,1017.0,1039.9,1000.0,1007.8
2023-08-03,965.0,1004.9,961.0,991.85
2023-08-06,1050.0,1113.0,1050.0,1096.55
2023-08-07,1109.9,1128.7,1052.0,1065.15
2023-08-08,1072.05,1085.0,1060.1,1076.4
2023-08-09,1087.3,1087.3,1054.0,1069.8
2023-08-10,1070.0,1079.0,1053.3,1067.05
2023-08-13,1045.0,1064.95,1030.0,1043.4
2023-08-15,1048.6,1060.95,1012.5,1015.35
2023-08-16,1027.95,1038.9,988.65,995.1
2023-08-17,1000.1,1057.35,994.95,1052.6
2023-08-20,1048.0,1072.1,1035.0,1055.45
2023-08-21,1060.75,1069.0,1040.65,1046.1
2023-08-22,1051.35,1065.0,1035.25,1048.6
2023-08-23,1053.85,1068.0,1030.1,1038.85
2023-08-24,1039.3,1054.45,1020.65,1037.1
2023-08-27,1047.95,1069.5,1005.05,1021.55
2023-08-28,1028.95,1060.0,1018.15,1046.85
2023-08-29,1046.7,1054.9,1027.85,1042.1
2023-08-30,1039.95,1053.0,1025.5,1044.35
2023-08-31,1050.0,1059.9,1044.35,1052.15
