date,open,high,low,close
2023-06-01,116.0,118.9,115.0,115.2
2023-06-02,115.95,117.4,115.4,115.75
2023-06-05,116.0,116.8,115.05,115.45
2023-06-06,115.9,116.65,114.6,115.65
2023-06-07,116.1,117.8,114.5,116.85
2023-06-08,122.0,126.75,121.0,122.4
2023-06-09,122.75,123.5,120.3,120.95
2023-06-12,121.7,123.3,120.15,121.7
2023-06-13,122.2,122.8,120.15,120.8
2023-06-14,120.6,122.5,120.0,120.6
2023-06-15,120.5,120.95,117.2,118.0
2023-06-16,118.0,119.65,116.6,117.0
2023-06-19,117.5,118.4,114.9,115.25
2023-06-20,115.55,118.95,115.25,115.55
2023-06-21,115.9,117.85,115.3,115.8
2023-06-22,116.35,116.4,114.9,115.65
2023-06-23,115.7,117.6,113.85,116.0
2023-06-26,116.85,116.85,114.0,114.4
2023-06-27,115.25,119.25,114.5,118.05
2023-06-28,118.8,119.35,116.15,116.65
2023-06-30,117.15,125.25,116.75,123.2
2023-07-03,123.9,125.6,121.4,124.55
2023-07-04,125.0,126.75,122.6,124.6
2023-07-05,124.6,127.95,123.7,126.3
2023-07-06,126.0,128.7,125.15,126.65
2023-07-07,125.4,127.95,124.35,125.45
2023-07-10,125.9,133.3,122.9,132.65
2023-07-11,134.8,136.3,132.35,133.5
2023-07-12,134.4,134.4,129.05,129.7
2023-07-13,130.5,130.5,125.1,125.55
2023-07-14,125.6,131.4,125.0,129.5
2023-07-17,129.5,129.75,127.1,127.9
2023-07-18,127.95,139.0,126.95,137.65
2023-07-19,138.7,143.75,136.95,141.6
2023-07-20,141.0,144.8,140.55,142.85
2023-07-21,142.25,148.5,141.05,145.9
2023-07-24,145.6,146.65,140.3,141.2
2023-07-25,141.95,148.0,141.55,146.45
2023-07-26,147.2,150.0,144.0,146.2
2023-07-27,148.7,149.1,144.9,145.9
2023-07-28,146.0,148.0,143.2,145.6
2023-07-31,145.6,147.7,143.0,143.5
2023-08-01,144.5,149.7,144.45,147.45
2023-08-02,147.6,147.9,139.1,143.15
2023-08-03,142.6,146.4,141.5,143.8
2023-08-04,144.4,152.4,141.95,151.4
2023-08-07,147.25,155.0,146.75,153.85
2023-08-08,158.25,159.0,150.0,150.75
2023-08-09,152.0,153.4,148.15,149.8
2023-08-10,151.15,160.0,150.25,156.25
2023-08-11,158.0,160.95,153.2,154.05
2023-08-14,154.7,156.55,148.1,155.15
2023-08-16,154.4,158.2,153.05,156.2
2023-08-17,156.4,162.4,155.0,156.3
2023-08-18,156.0,158.85,153.25,154.4
2023-08-21,154.4,156.55,152.55,153.2
2023-08-22,153.9,156.75,153.25,153.7
2023-08-23,154.6,155.7,153.1,154.3
2023-08-24,154.9,156.3,150.7,151.55
2023-08-25,151.2,152.8,148.4,150.5
2023-08-28,151.7,153.4,146.35,146.8
2023-08-29,147.95,150.2,146.55,146.8
2023-08-30,146.85,148.8,146.85,147.35
2023-08-31,147.35,148.25,146.1,147.15
