date,open,high,low,close
2023-06-01,487.0,488.8,481.55,484.65
2023-06-02,487.95,489.45,485.1,487.0
2023-06-05,491.95,496.75,490.0,493.65
2023-06-06,495.0,496.0,487.5,490.35
2023-06-07,492.95,494.55,488.1,490.9
2023-06-08,491.0,497.05,489.6,490.8
2023-06-09,493.75,493.75,486.0,490.55
2023-06-12,495.0,498.95,487.3,488.1
2023-06-13,491.35,493.3,487.7,492.25
2023-06-14,490.05,493.1,487.2,488.85
2023-06-15,490.0,496.7,487.4,492.9
2023-06-16,494.8,509.0,494.0,502.75
2023-06-19,510.65,510.95,504.05,508.65
2023-06-20,510.0,512.0,506.95,509.15
2023-06-21,512.5,527.05,512.0,522.4
2023-06-22,525.0,526.95,513.65,519.3
2023-06-23,504.9,509.6,498.05,507.4
2023-06-26,506.9,517.3,504.5,507.2
2023-06-27,510.2,516.0,505.0,507.1
2023-06-28,509.9,512.9,505.0,505.7
2023-06-30,508.0,516.0,506.15,515.25
2023-07-03,520.0,526.9,510.5,512.15
2023-07-04,514.9,522.05,506.0,514.55
2023-07-05,518.75,523.65,512.65,520.15
2023-07-06,521.4,545.8,518.3,540.6
2023-07-07,543.5,549.8,534.0,537.2
2023-07-10,542.15,544.5,521.0,523.65
2023-07-11,523.65,530.0,517.55,524.0
2023-07-12,524.0,528.45,512.1,518.25
2023-07-13,520.85,523.95,510.25,513.05
2023-07-14,511.65,519.8,511.65,514.15
2023-07-17,512.25,526.0,512.25,521.85
2023-07-18,522.55,532.0,521.1,529.25
2023-07-19,529.95,536.45,525.25,529.85
2023-07-20,526.1,529.0,517.9,518.9
2023-07-21,516.5,525.0,515.15,523.85
2023-07-24,524.9,526.4,511.5,512.45
2023-07-25,513.0,523.1,513.0,521.75
2023-07-26,524.4,525.0,517.7,522.75
2023-07-27,523.95,525.0,512.1,513.25
2023-07-28,515.0,523.15,513.45,521.35
2023-07-31,522.7,533.5,522.0,531.25
2023-08-01,532.0,547.0,532.0,545.5
2023-08-02,545.5,556.85,536.0,541.35
2023-08-03,541.5,544.5,527.0,534.55
2023-08-04,539.7,549.5,539.7,544.65
2023-08-07,547.7,561.4,529.95,543.7
2023-08-08,541.6,546.3,532.1,542.1
2023-08-09,542.0,549.05,534.0,537.3
2023-08-10,539.0,540.5,531.2,535.3
2023-08-11,537.9,537.9,527.0,528.85
2023-08-14,528.8,533.35,515.0,518.8
2023-08-16,517.0,531.65,514.4,528.2
2023-08-17,531.45,534.95,515.0,516.1
2023-08-18,516.1,520.75,510.5,514.35
2023-08-21,517.95,519.2,503.7,506.25
2023-08-22,511.95,513.2,505.0,507.85
2023-08-23,511.7,519.1,505.0,514.65
2023-08-24,518.2,521.95,513.0,515.55
2023-08-25,515.0,523.5,514.0,521.0
2023-08-28,518.0,547.05,516.1,539.7
2023-08-29,545.1,608.0,545.0,596.5
2023-08-30,602.0,611.8,590.0,599.15
2023-08-31,603.95,630.15,583.0,621.5
