date,open,high,low,close
2023-07-03,1403.0,1425.0,1403.0,1420.8
2023-07-04,1418.0,1425.2,1405.0,1421.2
2023-07-05,1421.2,1422.45,1400.0,1415.5
2023-07-06,1406.2,1414.25,1395.45,1400.45
2023-07-09,1405.0,1412.65,1394.3,1397.3
2023-07-10,1385.0,1408.75,1380.4,1389.35
2023-07-11,1395.0,1410.0,1385.45,1394.9
2023-07-12,1399.9,1406.1,1395.0,1401.0
2023-07-13,1403.0,1403.0,1386.0,1387.4
2023-07-16,1401.0,1460.0,1394.45,1416.25
2023-07-17,1428.0,1428.0,1398.05,1413.45
2023-07-18,1420.0,1420.0,1397.45,1401.85
2023-07-19,1408.9,1408.9,1390.05,1393.7
2023-07-20,1394.2,1404.2,1377.25,1398.35
2023-07-23,1405.0,1409.2,1385.25,1391.9
2023-07-24,1392.0,1407.0,1380.1,1402.8
2023-07-25,1407.0,1414.85,1386.55,1401.4
2023-07-26,1408.8,1409.9,1391.7,1400.3
2023-07-27,1400.3,1418.45,1387.15,1395.2
2023-07-30,1399.95,1414.4,1386.0,1396.1
2023-07-31,1403.4,1410.0,1391.35,1405.0
2023-08-01,1408.9,1408.9,1388.0,1405.0
2023-08-02,1405.0,1426.2,1393.8,1402.2
2023-08-03,1409.25,1410.0,1396.25,1401.6
2023-08-06,1407.6,1410.0,1393.85,1399.1
2023-08-07,1399.1,1403.55,1390.0,1400.65
2023-08-08,1400.65,1442.0,1395.0,1433.3
2023-08-09,1440.5,1445.0,1422.0,1431.6
2023-08-10,1431.6,1455.1,1428.85,1441.6
2023-08-13,1436.0,1436.0,1409.1,1415.1
2023-08-15,1419.8,1421.7,1408.0,1416.35
2023-08-16,1414.9,1422.25,1405.0,1408.85
2023-08-17,1406.1,1418.05,1396.2,1410.2
2023-08-20,1417.6,1417.6,1397.0,1404.6
2023-08-21,1410.0,1410.0,1397.75,1401.65
2023-08-22,1401.65,1426.65,1387.8,1421.55
2023-08-23,1422.95,1424.0,1407.0,1411.45
2023-08-24,1410.0,1425.0,1397.1,1420.4
2023-08-27,1420.75,1448.0,1410.0,1412.75
2023-08-28,1419.85,1431.7,1411.0,1413.5
2023-08-29,1415.05,1420.9,1405.0,1414.15
2023-08-30,1414.95,1446.25,1414.95,1429.5
2023-08-31,1420.0,1468.0,1416.5,1438.3
