date,open,high,low,close
2023-07-03,292.0,296.0,288.15,289.2
2023-07-04,290.5,291.15,285.35,286.0
2023-07-05,287.45,290.0,282.3,289.4
2023-07-06,289.9,292.0,285.5,287.25
2023-07-09,288.9,290.1,285.5,289.15
2023-07-10,289.9,298.95,289.2,298.15
2023-07-11,299.1,299.85,293.6,296.2
2023-07-12,297.8,298.0,289.75,292.3
2023-07-13,295.0,298.45,293.0,295.5
2023-07-16,296.0,301.7,296.0,298.35
2023-07-17,299.9,300.7,293.35,294.1
2023-07-18,295.6,296.15,292.75,295.05
2023-07-19,295.5,295.5,287.5,289.3
2023-07-20,289.95,291.5,284.2,285.2
2023-07-23,288.9,291.95,286.05,290.3
2023-07-24,291.7,293.2,288.2,291.6
2023-07-25,292.5,293.15,284.5,285.6
2023-07-26,287.1,288.8,283.2,284.75
2023-07-27,285.0,287.9,283.8,286.85
2023-07-30,288.6,291.0,287.0,288.35
2023-07-31,289.4,292.2,288.1,289.5
2023-08-01,289.9,290.65,285.9,287.7
2023-08-02,284.35,284.35,274.3,275.7
2023-08-03,277.85,280.65,268.45,275.9
2023-08-06,279.85,284.8,277.1,281.85
2023-08-07,284.9,292.0,281.2,283.95
2023-08-08,284.95,285.0,277.6,282.6
2023-08-09,284.1,286.2,278.5,279.2
2023-08-10,280.65,281.3,276.4,278.6
2023-08-13,279.35,280.15,272.65,273.3
2023-08-15,273.0,274.7,269.3,271.6
2023-08-16,272.75,273.0,268.05,271.25
2023-08-17,271.0,276.3,270.25,275.1
2023-08-20,276.5,278.8,274.0,274.9
2023-08-21,272.6,276.95,272.3,276.0
2023-08-22,277.35,277.8,275.0,276.6
2023-08-23,277.45,280.7,277.25,278.15
2023-08-24,278.3,281.4,277.05,278.7
2023-08-27,280.7,280.7,275.25,277.2
2023-08-28,278.0,280.15,271.65,273.95
2023-08-29,275.35,277.25,274.2,275.65
2023-08-30,277.1,277.6,274.0,276.15
2023-08-31,272.8,279.0,271.5,277.35
