date,open,high,low,close
2023-06-01,0.8,0.85,0.75,0.8
2023-06-02,0.8,0.85,0.75,0.8
2023-06-05,0.8,0.85,0.75,0.8
2023-06-06,0.8,0.85,0.75,0.8
2023-06-07,0.8,0.85,0.8,0.8
2023-06-08,0.85,0.9,0.8,0.85
2023-06-09,0.85,0.85,0.8,0.8
2023-06-12,0.85,0.9,0.8,0.85
2023-06-13,0.85,0.9,0.8,0.8
2023-06-14,0.8,0.9,0.8,0.85
2023-06-15,0.85,0.9,0.8,0.85
2023-06-16,0.9,0.9,0.85,0.85
2023-06-19,0.85,0.9,0.85,0.85
2023-06-20,0.85,0.85,0.8,0.85
2023-06-21,0.85,0.85,0.8,0.85
2023-06-22,0.85,0.85,0.8,0.8
2023-06-23,0.8,0.85,0.8,0.8
2023-06-26,0.8,0.85,0.8,0.8
2023-06-27,0.8,0.85,0.8,0.8
2023-06-28,0.8,0.85,0.8,0.8
2023-06-30,0.8,0.85,0.8,0.8
2023-07-03,0.85,0.85,0.8,0.8
2023-07-04,0.8,0.85,0.8,0.8
2023-07-05,0.8,0.85,0.8,0.8
2023-07-06,0.85,0.85,0.8,0.8
2023-07-07,0.85,0.85,0.8,0.85
2023-07-10,0.85,0.85,0.8,0.8
2023-07-11,0.8,0.85,0.8,0.8
2023-07-12,0.8,0.85,0.75,0.8
2023-07-13,0.8,0.85,0.75,0.75
2023-07-14,0.75,0.8,0.75,0.8
2023-07-17,0.8,0.8,0.75,0.75
2023-07-18,0.8,0.8,0.75,0.8
2023-07-19,0.8,0.8,0.75,0.8
2023-07-20,0.75,0.8,0.75,0.75
2023-07-21,0.75,0.8,0.75,0.75
2023-07-24,0.8,0.8,0.75,0.75
2023-07-25,0.75,0.8,0.75,0.75
2023-07-26,0.75,0.8,0.75,0.75
2023-07-27,0.75,0.8,0.75,0.75
2023-07-28,0.75,0.8,0.75,0.75
2023-07-31,0.75,0.8,0.75,0.8
2023-08-01,0.8,0.8,0.75,0.75
2023-08-02,0.75,0.8,0.75,0.75
2023-08-03,0.8,0.8,0.75,0.8
2023-08-04,0.75,0.8,0.75,0.75
2023-08-07,0.8,0.8,0.75,0.75
2023-08-08,0.8,0.8,0.7,0.75
2023-08-09,0.75,0.8,0.75,0.75
2023-08-10,0.75,0.8,0.75,0.8
2023-08-11,0.75,0.8,0.75,0.75
2023-08-14,0.8,0.8,0.75,0.8
2023-08-16,0.75,0.8,0.7,0.75
2023-08-17,0.75,0.8,0.75,0.8
2023-08-18,0.8,0.8,0.75,0.75
2023-08-21,0.75,0.8,0.7,0.75
2023-08-22,0.75,0.8,0.7,0.75
2023-08-23,0.75,0.8,0.75,0.75
2023-08-24,0.75,0.8,0.75,0.75
2023-08-25,0.75,0.8,0.7,0.75
2023-08-28,0.75,0.75,0.7,0.75
2023-08-29,0.75,0.75,0.7,0.75
2023-08-30,0.75,0.75,0.7,0.7
2023-08-31,0.75,0.75,0.7,0.7
