date,open,high,low,close
2023-06-01,3080.0,3098.0,3060.5,3080.75
2023-06-02,3094.0,3174.9,3084.1,3167.95
2023-06-05,3183.75,3326.0,3175.3,3283.5
2023-06-06,3292.0,3440.0,3289.0,3413.1
2023-06-07,3470.0,3525.0,3457.2,3488.05
2023-06-08,3518.05,3547.55,3477.0,3527.4
2023-06-09,3609.0,3785.0,3530.25,3732.9
2023-06-12,3755.0,3800.0,3647.1,3686.05
2023-06-13,3699.0,3699.0,3628.05,3639.2
2023-06-14,3653.0,3739.0,3645.1,3715.6
2023-06-15,3730.2,3747.2,3688.15,3707.6
2023-06-16,3723.0,3886.0,3718.35,3844.7
2023-06-19,3899.0,3950.0,3865.0,3893.4
2023-06-20,3899.0,3899.0,3800.0,3848.7
2023-06-21,3879.3,3890.35,3760.0,3820.35
2023-06-22,3822.0,3828.95,3746.45,3760.45
2023-06-23,3779.8,3860.0,3621.0,3640.55
2023-06-26,3643.0,3720.0,3580.1,3701.05
2023-06-27,3734.2,3770.0,3653.2,3661.1
2023-06-28,3684.8,3745.0,3666.0,3721.9
2023-06-30,3731.9,3806.75,3701.0,3792.5
2023-07-03,3809.15,3811.05,3761.6,3770.05
2023-07-04,3770.05,3785.0,3715.0,3722.1
2023-07-05,3721.95,3749.0,3690.0,3734.9
2023-07-06,3740.0,3764.8,3707.0,3731.05
2023-07-07,3720.0,3784.8,3710.0,3759.5
2023-07-10,3783.6,3800.0,3741.05,3776.45
2023-07-11,3795.85,3945.0,3790.85,3917.45
2023-07-12,3933.95,3933.95,3815.25,3843.85
2023-07-13,3862.0,3898.65,3820.0,3854.0
2023-07-14,3856.5,3867.0,3775.2,3836.7
2023-07-17,3856.0,3913.0,3803.7,3815.7
2023-07-18,3828.0,3875.0,3812.5,3850.25
2023-07-19,3853.9,3884.0,3843.05,3860.9
2023-07-20,3860.0,3866.95,3815.55,3836.95
2023-07-21,3850.3,3894.0,3843.0,3854.45
2023-07-24,3868.35,3918.9,3850.0,3885.25
2023-07-25,3899.0,3905.0,3828.05,3836.35
2023-07-26,3847.8,3870.0,3828.65,3858.6
2023-07-27,3860.0,3867.9,3836.0,3852.95
2023-07-28,3850.0,3949.0,3831.1,3929.0
2023-07-31,3944.0,3998.9,3939.0,3961.5
2023-08-01,3967.0,3974.35,3855.05,3865.9
2023-08-02,3866.0,3867.0,3713.25,3739.85
2023-08-03,3738.9,3793.05,3701.55,3766.55
2023-08-04,3785.0,3799.95,3740.3,3750.0
2023-08-07,3765.0,3779.85,3745.0,3752.05
2023-08-08,3770.0,3794.7,3741.75,3775.75
2023-08-09,3786.0,3839.15,3762.1,3824.25
2023-08-10,3823.0,3860.0,3782.35,3791.65
2023-08-11,3812.1,3868.85,3763.05,3791.0
2023-08-14,3784.85,3892.0,3715.4,3878.85
2023-08-16,3880.05,3915.0,3831.0,3900.15
2023-08-17,3909.0,3928.25,3861.4,3869.25
2023-08-18,3870.0,3883.0,3780.0,3788.0
2023-08-21,3787.85,3833.75,3780.85,3820.85
2023-08-22,3827.8,3908.2,3822.1,3891.45
2023-08-23,3900.0,4049.9,3895.4,4031.1
2023-08-24,4135.0,4135.0,3956.9,3965.45
2023-08-25,3988.8,4019.0,3892.1,3910.4
2023-08-28,3930.0,3959.6,3900.0,3915.25
2023-08-29,3923.45,3929.0,3875.15,3897.35
2023-08-30,3928.0,3958.0,3900.05,3905.3
2023-08-31,3919.0,3929.0,3876.6,3900.3
