date,open,high,low,close
2023-06-01,425.5,435.0,425.0,429.75
2023-06-02,433.65,438.6,430.25,433.0
2023-06-05,436.7,449.5,432.15,443.0
2023-06-06,444.85,448.0,434.55,437.75
2023-06-07,439.7,453.25,438.15,447.65
2023-06-08,450.25,452.95,437.7,440.25
2023-06-09,440.85,443.7,433.1,434.7
2023-06-12,435.15,443.5,435.0,439.05
2023-06-13,439.05,452.0,438.65,450.15
2023-06-14,451.0,461.25,450.2,459.25
2023-06-15,458.9,464.9,451.0,452.6
2023-06-16,454.7,458.8,445.1,447.7
2023-06-19,445.6,452.0,440.6,441.7
2023-06-20,441.7,455.85,441.7,449.85
2023-06-21,450.6,458.0,447.1,448.65
2023-06-22,449.0,461.0,438.1,440.2
2023-06-23,440.7,473.8,414.75,470.45
2023-06-26,473.4,494.0,467.25,472.85
2023-06-27,472.3,482.35,463.3,469.65
2023-06-28,474.9,475.0,458.5,463.4
2023-06-30,465.0,469.0,455.05,460.65
2023-07-03,463.8,472.55,460.65,468.35
2023-07-04,469.6,474.9,460.1,461.6
2023-07-05,463.0,484.55,461.5,469.4
2023-07-06,469.95,474.0,467.0,468.75
2023-07-07,466.15,473.0,455.25,457.8
2023-07-10,457.85,459.3,444.0,446.95
2023-07-11,448.0,459.35,446.85,449.5
2023-07-12,451.4,455.8,442.1,443.45
2023-07-13,446.4,450.4,440.1,445.4
2023-07-14,446.75,448.95,434.0,440.5
2023-07-17,443.7,444.85,439.3,441.6
2023-07-18,443.7,452.1,439.75,443.65
2023-07-19,442.35,450.6,442.05,448.8
2023-07-20,448.8,451.9,442.1,445.6
2023-07-21,442.0,445.1,438.8,441.4
2023-07-24,443.65,464.45,443.65,447.75
2023-07-25,448.0,450.35,441.1,442.7
2023-07-26,442.05,448.4,441.95,445.9
2023-07-27,448.7,448.7,440.5,441.55
2023-07-28,441.9,445.85,440.25,441.7
2023-07-31,441.95,452.9,441.5,447.6
2023-08-01,448.0,450.3,428.1,432.4
2023-08-02,429.1,429.85,419.05,424.3
2023-08-03,420.2,428.25,416.9,420.75
2023-08-04,421.0,424.0,406.1,408.0
2023-08-07,408.95,415.0,395.3,397.0
2023-08-08,396.25,416.15,396.25,414.35
2023-08-09,416.9,422.6,414.35,418.7
2023-08-10,418.7,421.85,411.85,417.45
2023-08-11,417.45,420.65,415.4,419.0
2023-08-14,418.9,418.9,406.5,408.85
2023-08-16,407.25,414.2,406.05,410.2
2023-08-17,409.85,422.4,409.55,419.75
2023-08-18,420.15,425.2,415.0,419.1
2023-08-21,415.0,454.85,410.05,435.3
2023-08-22,437.5,454.8,430.65,450.5
2023-08-23,450.0,452.65,438.6,441.2
2023-08-24,444.0,447.2,431.0,434.1
2023-08-25,432.8,439.9,428.0,435.8
2023-08-28,434.8,439.7,423.6,425.35
2023-08-29,427.0,457.9,426.6,452.45
2023-08-30,456.0,472.9,455.5,459.25
2023-08-31,459.85,460.6,452.1,454.85
