date,open,high,low,close
2023-07-03,439.0,444.0,438.02,442.2
2023-07-04,440.75,441.71,438.3,440.24
2023-07-05,396.21,443.43,396.21,441.46
2023-07-06,446.24,447.5,441.26,447.31
2023-07-07,443.26,446.6,435.0,440.6
2023-07-10,440.31,441.67,437.99,438.69
2023-07-11,439.28,444.9,439.28,444.45
2023-07-12,443.89,444.79,441.3,443.76
2023-07-13,450.64,450.64,438.8,440.05
2023-07-14,441.68,445.6,440.7,444.79
2023-07-17,449.99,449.99,443.45,445.41
2023-07-18,445.99,447.54,442.49,443.77
2023-07-19,444.3,446.88,444.3,445.34
2023-07-20,445.35,445.99,443.53,444.53
2023-07-21,445.7,445.7,442.4,444.0
2023-07-24,444.0,445.0,442.58,443.68
2023-07-25,445.63,445.63,443.1,445.61
2023-07-26,445.7,448.0,445.7,446.72
2023-07-27,447.71,450.0,447.71,448.95
2023-07-28,450.0,455.0,449.1,454.39
2023-07-31,453.6,457.0,452.94,455.74
2023-08-01,454.99,456.99,452.2,454.52
2023-08-02,455.3,455.3,444.6,448.13
2023-08-03,448.77,448.77,444.13,446.99
2023-08-04,467.11,467.11,448.0,449.15
2023-08-07,451.39,451.4,449.36,450.87
2023-08-08,452.0,452.0,447.3,449.98
2023-08-09,450.89,452.0,449.55,450.82
2023-08-10,451.97,452.44,448.51,448.51
2023-08-11,448.6,451.12,448.15,448.93
2023-08-14,454.3,454.3,439.09,441.87
2023-08-16,440.0,458.0,440.0,456.4
2023-08-17,444.0,444.0,440.27,442.38
2023-08-18,440.75,441.04,438.99,439.56
2023-08-21,439.81,442.87,439.81,442.87
2023-08-22,446.0,446.21,444.5,445.7
2023-08-23,445.26,447.49,445.1,445.1
2023-08-24,447.79,450.0,446.95,448.38
2023-08-25,447.3,447.3,442.95,443.43
2023-08-28,444.31,446.71,443.89,445.21
2023-08-29,446.36,448.97,446.36,448.97
2023-08-30,449.9,451.5,448.89,449.22
2023-08-31,448.74,449.1,447.0,447.0
