date,open,high,low,close
2023-07-03,108.71,108.71,106.0,106.4
2023-07-04,107.4,107.4,106.95,107.3
2023-07-05,108.19,108.65,107.66,108.38
2023-07-06,108.98,108.98,107.3,108.09
2023-07-09,108.94,109.0,107.46,107.73
2023-07-10,109.9,109.9,108.07,108.66
2023-07-11,109.88,112.22,108.71,109.36
2023-07-12,110.87,111.9,108.14,108.97
2023-07-13,112.25,112.25,108.47,109.77
2023-07-16,111.48,111.48,110.17,110.69
2023-07-17,111.47,111.77,109.35,109.91
2023-07-18,111.73,111.74,110.18,110.79
2023-07-19,110.9,111.2,110.55,111.0
2023-07-20,111.96,111.96,108.55,111.2
2023-07-23,111.96,112.04,111.0,111.57
2023-07-24,112.6,112.6,111.12,111.73
2023-07-25,111.87,112.5,108.4,112.13
2023-07-26,112.97,113.0,112.01,112.25
2023-07-27,112.95,112.95,111.78,112.76
2023-07-30,112.76,114.6,112.76,113.88
2023-07-31,114.0,115.56,113.92,114.21
2023-08-01,114.96,114.96,111.77,112.62
2023-08-02,113.48,113.48,111.77,112.84
2023-08-03,112.84,114.29,112.84,113.65
2023-08-06,110.25,114.88,110.25,113.97
2023-08-07,114.74,114.8,113.38,114.09
2023-08-08,110.65,115.0,110.65,114.54
2023-08-09,115.24,115.24,114.29,114.42
2023-08-10,113.85,114.99,111.0,114.22
2023-08-13,114.8,114.8,112.05,113.48
2023-08-15,113.69,114.5,112.81,113.61
2023-08-16,115.45,115.45,113.03,114.06
2023-08-17,114.49,114.49,112.5,113.71
2023-08-20,114.88,114.88,113.18,114.25
2023-08-21,114.25,115.75,114.03,115.52
2023-08-22,116.0,116.9,115.52,116.58
2023-08-23,117.88,117.88,116.11,116.24
2023-08-24,119.08,119.08,114.88,115.91
2023-08-27,118.9,118.9,115.91,116.78
2023-08-28,119.08,119.08,117.1,117.42
2023-08-29,119.08,119.08,118.01,118.57
2023-08-30,119.25,125.18,118.85,120.81
2023-08-31,122.9,123.85,119.6,120.72
