date,open,high,low,close
2023-06-01,215.45,216.55,208.2,209.3
2023-06-02,210.7,210.85,206.35,208.2
2023-06-05,208.55,212.1,202.65,203.65
2023-06-06,203.0,209.7,203.0,206.85
2023-06-07,208.0,214.7,208.0,212.6
2023-06-08,214.6,214.6,206.6,208.25
2023-06-09,210.5,213.95,208.3,210.95
2023-06-12,210.95,216.95,210.2,211.7
2023-06-13,213.0,220.9,212.1,218.3
2023-06-14,221.0,222.65,217.15,220.15
2023-06-15,221.9,221.9,208.75,212.2
2023-06-16,213.0,216.75,211.5,212.6
2023-06-19,215.95,215.95,211.0,211.8
2023-06-20,213.9,215.35,211.0,214.85
2023-06-21,216.0,217.0,212.55,213.35
2023-06-22,215.5,218.9,210.1,211.3
2023-06-23,215.0,215.0,209.45,212.45
2023-06-26,212.45,215.8,209.1,212.8
2023-06-27,212.8,214.0,208.2,209.8
2023-06-28,211.8,213.7,210.0,210.95
2023-06-30,213.4,213.4,209.05,210.25
2023-07-03,212.8,219.7,209.6,215.85
2023-07-04,217.6,218.05,214.2,216.7
2023-07-05,218.75,221.0,213.55,215.0
2023-07-06,215.0,221.3,215.0,219.1
2023-07-07,215.75,219.7,214.7,216.95
2023-07-10,216.95,227.05,212.6,223.7
2023-07-11,225.7,227.95,219.05,221.45
2023-07-12,221.5,222.75,216.05,218.45
2023-07-13,218.95,222.1,215.25,216.85
2023-07-14,219.0,224.9,217.7,221.95
2023-07-17,223.45,223.9,220.1,222.35
2023-07-18,222.35,242.0,222.0,239.35
2023-07-19,241.0,242.9,234.3,237.65
2023-07-20,238.8,250.0,236.4,247.35
2023-07-21,247.2,270.0,243.95,268.45
2023-07-24,268.8,287.35,268.8,280.2
2023-07-25,277.8,278.85,263.45,265.65
2023-07-26,266.0,276.75,264.3,273.3
2023-07-27,273.3,276.5,271.1,273.0
2023-07-28,273.0,273.0,261.1,264.6
2023-07-31,264.95,280.0,243.2,246.75
2023-08-01,246.8,255.8,243.2,252.25
2023-08-02,254.0,255.9,238.65,247.45
2023-08-03,253.9,253.9,245.35,246.3
2023-08-04,252.95,255.45,248.3,252.8
2023-08-07,254.45,254.45,242.35,243.5
2023-08-08,244.9,252.05,244.55,247.35
2023-08-09,248.65,252.9,247.35,248.2
2023-08-10,249.2,252.05,248.55,249.75
2023-08-11,249.0,255.0,243.55,249.1
2023-08-14,248.8,248.9,242.9,248.05
2023-08-16,246.75,259.0,246.7,252.6
2023-08-17,252.6,256.0,248.05,249.25
2023-08-18,248.0,254.0,243.5,252.8
2023-08-21,253.65,258.8,248.45,250.35
2023-08-22,251.95,260.9,251.35,252.9
2023-08-23,253.1,255.6,250.05,252.45
2023-08-24,252.95,255.3,245.6,247.4
2023-08-25,245.95,254.85,237.3,249.55
2023-08-28,250.15,258.5,250.0,250.9
2023-08-29,251.05,255.7,249.4,250.95
2023-08-30,252.95,254.7,250.3,251.05
2023-08-31,251.55,259.0,247.75,250.75
