date,open,high,low,close
2023-06-01,144.9,148.85,142.1,146.1
2023-06-02,142.75,146.8,139.55,145.6
2023-06-05,143.1,153.5,143.05,150.4
2023-06-06,150.75,153.55,142.95,145.2
2023-06-07,145.6,147.45,143.0,143.55
2023-06-08,143.45,145.6,143.05,144.35
2023-06-09,144.9,146.7,143.65,143.7
2023-06-12,143.7,146.0,143.65,145.75
2023-06-13,148.2,156.0,143.25,145.7
2023-06-14,143.25,145.25,143.1,143.55
2023-06-15,143.65,145.5,143.6,144.9
2023-06-16,147.35,149.15,143.75,146.25
2023-06-19,144.05,152.45,143.35,144.9
2023-06-20,143.05,147.35,142.15,145.15
2023-06-21,143.55,148.85,143.55,145.3
2023-06-22,144.5,147.0,144.05,144.85
2023-06-23,145.05,146.85,143.7,144.75
2023-06-26,143.75,145.9,141.6,142.45
2023-06-27,142.5,144.8,141.7,142.5
2023-06-28,142.05,144.85,141.8,141.95
2023-06-30,142.0,147.65,142.0,143.85
2023-07-03,141.85,146.2,141.85,144.4
2023-07-04,144.35,148.25,143.3,146.15
2023-07-05,145.25,148.5,144.85,146.5
2023-07-06,148.85,148.85,145.25,148.75
2023-07-07,146.1,151.25,145.5,150.7
2023-07-10,154.9,155.6,149.15,154.3
2023-07-11,152.0,155.0,147.1,150.6
2023-07-12,152.9,152.9,146.05,146.95
2023-07-13,148.35,151.95,147.1,148.1
2023-07-14,148.0,149.95,146.0,146.9
2023-07-17,149.35,155.9,149.3,154.75
2023-07-18,153.05,169.75,146.05,159.25
2023-07-19,159.9,164.9,155.0,159.05
2023-07-20,158.95,162.15,156.55,158.9
2023-07-21,157.1,159.65,151.1,153.2
2023-07-24,155.75,159.0,151.35,155.5
2023-07-25,154.95,157.4,154.0,154.0
2023-07-26,154.0,158.75,151.05,151.55
2023-07-27,152.55,155.0,148.0,148.85
2023-07-28,149.2,152.5,146.0,146.75
2023-07-31,148.9,150.5,147.05,149.5
2023-08-01,151.05,151.95,140.2,145.1
2023-08-02,144.5,150.0,144.5,149.95
2023-08-03,148.3,149.9,145.05,149.25
2023-08-04,150.5,151.65,146.05,146.85
2023-08-07,148.7,149.15,147.0,147.55
2023-08-08,149.0,149.0,146.1,146.35
2023-08-09,148.3,149.9,146.95,147.5
2023-08-10,162.25,162.25,156.1,158.2
2023-08-11,159.8,160.8,147.4,148.2
2023-08-14,153.0,153.0,145.2,145.45
2023-08-16,145.45,149.45,145.05,148.1
2023-08-17,149.0,149.95,144.4,145.4
2023-08-18,142.15,147.85,142.15,146.5
2023-08-21,148.75,149.9,146.6,148.7
2023-08-22,151.1,151.1,146.45,148.3
2023-08-23,148.0,156.0,143.4,145.45
2023-08-24,147.9,147.9,145.4,145.65
2023-08-25,145.4,146.65,144.05,144.7
2023-08-28,146.1,146.5,144.4,144.9
2023-08-29,147.0,151.45,145.6,146.95
2023-08-30,149.1,149.35,143.95,145.3
2023-08-31,147.3,147.55,145.1,145.55
