date,open,high,low,close
2023-07-03,1083.6,1089.9,1076.0,1077.0
2023-07-04,1082.05,1082.6,1073.1,1076.35
2023-07-05,1079.4,1084.4,1070.2,1077.85
2023-07-06,1079.05,1104.75,1079.0,1090.1
2023-07-07,1089.95,1096.35,1085.0,1088.25
2023-07-10,1088.2,1091.75,1065.05,1069.65
2023-07-11,1071.05,1074.9,1060.0,1062.6
2023-07-12,1064.75,1070.35,1055.1,1058.45
2023-07-13,1055.1,1063.0,1051.15,1056.75
2023-07-14,1057.05,1063.15,1052.1,1057.35
2023-07-17,1061.95,1091.65,1061.95,1078.5
2023-07-18,1089.95,1089.95,1070.0,1075.1
2023-07-19,1088.0,1088.0,1065.25,1073.3
2023-07-20,1073.3,1078.95,1065.1,1068.8
2023-07-21,1065.0,1074.0,1062.5,1065.9
2023-07-24,1066.0,1072.55,1049.0,1051.6
2023-07-25,1056.75,1060.25,1049.1,1050.8
2023-07-26,1053.1,1054.9,1040.0,1043.6
2023-07-27,1044.05,1064.8,1043.6,1054.05
2023-07-28,1060.9,1071.0,1050.0,1058.45
2023-07-31,1060.0,1064.75,1048.95,1054.35
2023-08-01,1060.95,1062.65,1048.95,1056.25
2023-08-02,1056.25,1062.45,1048.0,1051.6
2023-08-03,1048.35,1056.4,1042.0,1048.2
2023-08-04,1050.55,1059.85,1050.25,1052.05
2023-08-07,1059.95,1063.45,1036.9,1041.75
2023-08-08,1041.75,1051.95,1041.75,1047.25
2023-08-09,1050.55,1058.5,1045.0,1053.45
2023-08-10,1059.0,1059.0,1020.6,1025.75
2023-08-11,1017.0,1024.75,1014.0,1020.45
2023-08-14,1014.0,1031.7,1012.5,1015.25
2023-08-16,1014.85,1023.5,1009.1,1013.15
2023-08-17,1014.95,1022.95,1010.0,1011.0
2023-08-18,1011.0,1019.95,1000.1,1003.25
2023-08-21,1000.0,1010.0,999.0,1006.3
2023-08-22,1009.0,1016.0,1008.0,1010.55
2023-08-23,1011.8,1046.0,1011.6,1031.15
2023-08-24,1031.0,1039.95,1021.0,1023.7
2023-08-25,1023.0,1030.0,1010.0,1013.85
2023-08-28,1017.6,1022.6,999.0,1012.6
2023-08-29,1012.6,1020.05,1001.05,1010.0
2023-08-30,1016.8,1025.0,1005.0,1010.2
2023-08-31,1013.2,1045.0,1005.5,1007.6
