date,open,high,low,close
2023-07-03,14.7,15.45,14.55,14.7
2023-07-04,14.75,14.9,14.45,14.6
2023-07-05,14.6,14.75,14.5,14.7
2023-07-06,14.7,14.8,14.55,14.7
2023-07-07,14.8,14.8,14.5,14.5
2023-07-10,14.5,14.7,14.4,14.5
2023-07-11,14.5,14.6,14.35,14.35
2023-07-12,14.45,14.55,14.3,14.4
2023-07-13,14.5,14.55,14.1,14.15
2023-07-14,14.25,14.25,13.95,14.1
2023-07-17,14.45,14.45,14.15,14.35
2023-07-18,14.6,14.6,13.95,14.05
2023-07-19,14.1,14.25,14.0,14.05
2023-07-20,13.9,14.4,13.9,14.1
2023-07-21,14.2,14.25,14.05,14.2
2023-07-24,14.45,14.45,14.05,14.1
2023-07-25,14.1,14.3,12.65,13.5
2023-07-26,13.6,14.1,13.45,13.85
2023-07-27,14.15,14.4,13.95,14.05
2023-07-28,14.25,14.25,14.0,14.05
2023-07-31,14.15,16.55,14.0,14.75
2023-08-01,14.9,14.95,14.0,14.25
2023-08-02,14.35,14.65,14.05,14.15
2023-08-03,14.2,14.2,13.9,14.0
2023-08-04,14.0,14.2,13.9,13.95
2023-08-07,14.15,14.2,13.85,13.95
2023-08-08,13.95,14.0,13.8,13.85
2023-08-09,14.0,14.2,13.9,14.0
2023-08-10,14.1,15.05,13.95,14.7
2023-08-11,15.15,15.15,14.4,14.5
2023-08-14,14.7,14.75,14.2,14.35
2023-08-16,14.35,14.4,14.1,14.15
2023-08-17,14.25,14.25,13.9,13.95
2023-08-18,13.95,14.15,13.85,13.95
2023-08-21,14.1,14.2,13.95,13.95
2023-08-22,13.95,15.35,13.95,15.05
2023-08-23,15.4,15.5,14.8,15.0
2023-08-24,15.0,15.25,14.65,14.7
2023-08-25,14.9,14.95,14.45,14.5
2023-08-28,14.75,15.45,14.5,14.85
2023-08-29,15.05,15.15,14.6,14.75
2023-08-30,14.75,15.25,14.7,14.75
2023-08-31,15.1,15.15,14.65,14.75
