date,open,high,low,close
2023-06-01,263.0,267.35,259.6,260.25
2023-06-02,260.9,260.9,257.3,258.55
2023-06-05,258.15,258.85,253.3,256.5
2023-06-06,256.95,263.25,256.6,262.35
2023-06-07,263.3,278.4,262.85,276.65
2023-06-08,272.5,272.5,265.0,265.9
2023-06-09,268.0,268.8,261.55,262.2
2023-06-12,263.0,274.95,262.95,273.45
2023-06-13,275.5,277.2,272.9,274.35
2023-06-14,273.5,279.5,273.5,275.9
2023-06-15,276.25,277.75,273.0,274.0
2023-06-16,274.0,275.0,271.0,273.4
2023-06-19,273.45,274.4,271.05,272.75
2023-06-20,273.0,273.5,268.7,272.95
2023-06-21,274.2,275.3,270.55,274.0
2023-06-22,272.8,276.0,270.6,275.0
2023-06-23,273.0,274.75,265.0,269.45
2023-06-26,269.4,272.7,266.45,271.15
2023-06-27,272.0,274.65,265.85,267.0
2023-06-28,269.75,275.0,266.2,269.1
2023-06-30,269.75,275.0,268.15,273.85
2023-07-03,276.0,293.45,272.6,283.5
2023-07-04,286.0,286.0,276.65,279.1
2023-07-05,279.85,292.25,276.5,290.8
2023-07-06,290.05,307.0,290.05,301.95
2023-07-07,301.95,308.0,299.5,305.95
2023-07-10,308.0,308.0,294.35,298.0
2023-07-11,297.8,299.75,294.05,295.15
2023-07-12,295.1,297.7,290.65,291.4
2023-07-13,293.0,293.7,285.0,286.8
2023-07-14,287.0,290.5,283.5,287.4
2023-07-17,290.3,295.0,288.55,294.35
2023-07-18,295.75,298.0,289.5,290.4
2023-07-19,290.5,298.5,288.8,297.9
2023-07-20,298.0,305.6,298.0,300.4
2023-07-21,300.0,304.8,298.4,301.55
2023-07-24,301.55,304.5,299.75,300.95
2023-07-25,299.85,303.8,297.8,300.3
2023-07-26,300.5,309.9,299.2,301.7
2023-07-27,303.5,305.65,289.4,290.7
2023-07-28,292.45,292.45,277.5,279.4
2023-07-31,280.0,285.5,276.3,282.4
2023-08-01,281.5,286.95,280.1,285.05
2023-08-02,286.2,286.2,274.0,276.3
2023-08-03,276.5,278.1,268.5,270.35
2023-08-04,273.9,273.9,266.2,266.7
2023-08-07,268.7,269.0,263.0,267.8
2023-08-08,269.1,270.25,262.5,265.05
2023-08-09,265.9,267.5,263.15,266.4
2023-08-10,266.9,269.7,264.05,264.9
2023-08-11,266.5,269.6,265.15,266.65
2023-08-14,266.5,266.6,262.1,263.4
2023-08-16,262.5,266.55,260.75,261.65
2023-08-17,263.0,264.0,260.2,261.75
2023-08-18,262.65,263.85,259.65,261.15
2023-08-21,261.05,262.25,259.35,260.5
2023-08-22,261.95,262.65,259.2,260.2
2023-08-23,260.5,261.35,259.1,260.0
2023-08-24,261.0,266.55,260.2,264.85
2023-08-25,265.0,267.95,260.6,261.5
2023-08-28,262.0,265.85,261.15,264.35
2023-08-29,265.4,266.7,263.2,263.9
2023-08-30,260.6,262.0,257.0,257.7
2023-08-31,258.2,258.25,246.8,248.1
