date,open,high,low,close
2023-07-03,541.0,555.05,533.25,535.4
2023-07-04,537.65,549.7,531.55,535.8
2023-07-05,536.0,560.6,532.0,547.3
2023-07-06,544.8,553.65,537.6,547.1
2023-07-09,547.1,565.95,546.05,556.45
2023-07-10,552.5,573.35,541.2,546.2
2023-07-11,550.0,571.0,548.8,567.35
2023-07-12,586.0,586.0,551.3,556.75
2023-07-13,561.5,564.9,548.6,559.8
2023-07-16,562.8,574.0,556.1,560.45
2023-07-17,565.0,577.9,559.1,565.55
2023-07-18,566.0,579.0,566.0,569.45
2023-07-19,573.0,599.95,570.0,596.1
2023-07-20,592.5,596.95,572.1,575.65
2023-07-23,578.1,600.25,578.1,594.0
2023-07-24,594.0,610.6,590.3,595.25
2023-07-25,596.55,608.65,585.5,589.3
2023-07-26,597.6,628.8,595.0,618.3
2023-07-27,619.0,627.6,611.45,624.85
2023-07-30,612.15,648.15,609.1,641.2
2023-07-31,641.45,648.15,627.9,633.8
2023-08-01,628.0,645.0,607.2,616.95
2023-08-02,616.4,634.0,610.1,623.8
2023-08-03,627.55,638.1,623.85,630.05
2023-08-06,631.1,643.7,627.7,631.35
2023-08-07,634.0,645.0,627.55,632.55
2023-08-08,634.8,657.0,633.15,645.65
2023-08-09,646.8,664.1,637.05,650.7
2023-08-10,593.15,598.0,541.9,565.35
2023-08-13,560.4,564.5,513.1,519.45
2023-08-15,509.0,516.85,497.2,505.85
2023-08-16,506.0,530.0,506.0,519.2
2023-08-17,519.2,528.8,515.75,525.9
2023-08-20,530.0,538.95,522.25,534.55
2023-08-21,536.5,549.7,523.0,526.1
2023-08-22,531.3,557.0,529.05,549.25
2023-08-23,552.0,569.4,552.0,558.95
2023-08-24,557.3,571.95,550.0,551.4
2023-08-27,554.65,569.25,552.4,554.85
2023-08-28,558.75,570.0,556.05,566.8
2023-08-29,569.45,571.5,557.9,566.0
2023-08-30,569.75,596.3,562.05,585.9
2023-08-31,588.7,596.7,585.05,591.4
