date,open,high,low,close
2023-07-03,52.81,53.19,52.8,53.17
2023-07-04,53.16,53.24,52.76,53.19
2023-07-05,53.19,53.2,52.82,52.82
2023-07-06,52.99,52.99,52.83,52.83
2023-07-09,53.24,53.24,52.6,53.07
2023-07-10,53.0,53.22,52.8,52.85
2023-07-11,52.85,52.85,52.85,52.85
2023-07-12,52.63,53.1,52.63,53.1
2023-07-13,52.8,53.15,52.8,53.15
2023-07-16,53.05,53.12,52.24,52.9
2023-07-17,53.22,53.22,52.8,52.8
2023-07-18,53.03,53.25,52.8,52.8
2023-07-19,53.25,53.25,53.2,53.24
2023-07-20,52.7,53.19,52.7,53.0
2023-07-23,53.25,53.25,52.95,53.23
2023-07-24,52.8,53.23,52.8,53.23
2023-07-25,53.2,53.25,52.81,53.25
2023-07-26,52.83,53.22,52.81,53.17
2023-07-27,53.0,53.19,52.81,53.15
2023-07-30,53.15,53.2,52.7,53.15
2023-07-31,53.22,53.41,52.82,53.05
2023-08-01,53.24,53.24,52.76,52.78
2023-08-02,54.6,54.6,52.75,52.82
2023-08-03,54.6,54.6,52.7,53.19
2023-08-06,53.19,53.24,52.73,53.04
2023-08-07,53.04,53.22,52.8,52.84
2023-08-08,52.97,53.03,52.51,53.01
2023-08-09,53.49,53.49,52.81,53.23
2023-08-10,53.47,53.47,52.81,53.22
2023-08-13,53.19,53.19,52.7,52.76
2023-08-15,52.8,53.24,52.8,53.2
2023-08-17,53.2,53.25,52.71,53.25
2023-08-20,53.25,53.5,52.8,53.5
2023-08-21,53.25,53.5,52.8,53.48
2023-08-22,53.01,53.24,52.8,53.22
2023-08-23,53.22,53.22,52.83,52.83
2023-08-24,53.25,53.25,53.25,53.25
2023-08-27,55.66,55.66,52.8,52.9
2023-08-28,52.9,53.25,52.8,53.13
2023-08-29,53.13,53.45,52.95,53.45
2023-08-30,53.21,53.48,53.04,53.29
2023-08-31,54.36,54.36,53.0,53.24
