date,open,high,low,close
2023-07-03,108.98,108.98,107.89,108.72
2023-07-04,105.45,109.68,105.45,109.08
2023-07-05,105.8,110.5,105.8,110.27
2023-07-06,113.6,113.6,109.99,110.75
2023-07-07,110.22,111.68,109.4,109.58
2023-07-10,106.3,110.48,106.3,108.93
2023-07-11,112.2,112.2,108.75,109.32
2023-07-12,110.27,110.43,108.7,109.17
2023-07-13,110.38,110.38,109.11,109.4
2023-07-14,110.38,112.0,109.74,111.65
2023-07-17,115.0,115.0,109.06,111.99
2023-07-18,112.88,112.88,111.8,112.38
2023-07-19,112.26,112.99,112.0,112.44
2023-07-20,115.8,115.8,111.01,112.96
2023-07-21,113.78,113.78,110.24,110.49
2023-07-24,111.38,111.64,109.67,109.82
2023-07-25,113.1,113.1,109.3,109.92
2023-07-26,113.2,113.2,109.41,110.56
2023-07-27,111.47,111.47,109.61,109.98
2023-07-28,110.0,110.88,109.41,109.99
2023-07-31,110.98,111.18,109.9,111.11
2023-08-01,111.98,111.98,111.06,111.66
2023-08-02,115.0,115.0,109.91,110.65
2023-08-03,113.95,113.95,109.5,109.61
2023-08-04,110.48,110.99,109.85,110.64
2023-08-07,113.95,113.95,107.3,111.2
2023-08-08,114.55,114.55,110.39,110.82
2023-08-09,114.15,114.15,110.11,111.62
2023-08-10,114.95,114.95,110.51,110.64
2023-08-11,113.95,113.95,110.2,110.47
2023-08-14,113.8,113.8,109.42,110.27
2023-08-16,112.5,112.5,110.11,111.07
2023-08-17,111.89,111.89,110.0,110.2
2023-08-18,113.5,113.5,109.03,109.34
2023-08-21,112.6,112.6,108.52,110.48
2023-08-22,113.8,113.8,110.14,110.43
2023-08-23,110.43,111.19,110.43,110.98
2023-08-24,110.98,112.0,110.51,110.84
2023-08-25,114.15,114.15,109.74,110.45
2023-08-28,113.75,113.75,109.44,109.82
2023-08-29,113.1,113.1,109.82,110.06
2023-08-30,110.07,110.99,109.52,110.58
2023-08-31,113.9,113.9,109.9,110.03
