date,open,high,low,close
2023-07-03,31.2,31.68,30.72,30.84
2023-07-04,31.25,31.4,30.35,31.13
2023-07-05,31.1,31.37,30.99,31.19
2023-07-06,31.19,31.24,31.07,31.17
2023-07-07,31.19,31.35,30.91,30.98
2023-07-10,30.98,31.29,30.53,30.6
2023-07-11,30.98,30.98,30.5,30.73
2023-07-12,30.98,31.01,30.41,30.55
2023-07-13,30.58,31.35,30.5,31.06
2023-07-14,31.7,32.45,31.27,32.35
2023-07-17,32.99,33.18,32.21,32.52
2023-07-18,33.5,33.5,32.35,32.81
2023-07-19,32.81,33.2,32.57,32.8
2023-07-20,33.8,33.8,32.46,32.66
2023-07-21,32.64,32.64,31.27,31.38
2023-07-24,31.77,31.77,31.3,31.33
2023-07-25,31.68,31.68,31.21,31.27
2023-07-26,31.48,31.48,31.22,31.31
2023-07-27,31.67,31.67,31.17,31.24
2023-07-28,31.39,31.39,30.82,30.98
2023-07-31,31.42,32.1,31.02,31.49
2023-08-01,31.79,32.25,31.46,31.78
2023-08-02,32.2,32.2,31.21,31.48
2023-08-03,31.7,31.7,31.17,31.39
2023-08-04,31.88,32.04,31.55,31.89
2023-08-07,31.91,32.27,31.9,32.23
2023-08-08,32.32,32.4,32.12,32.29
2023-08-09,32.7,32.7,32.08,32.4
2023-08-10,32.4,32.49,32.21,32.4
2023-08-11,32.74,32.74,32.32,32.42
2023-08-14,32.42,32.53,32.09,32.5
2023-08-16,32.27,32.79,32.27,32.7
2023-08-17,32.92,32.92,32.33,32.58
2023-08-18,32.58,32.58,32.05,32.15
2023-08-21,32.3,32.5,32.15,32.45
2023-08-22,32.79,32.79,32.29,32.45
2023-08-23,32.5,32.69,32.39,32.43
2023-08-24,32.67,32.88,32.49,32.66
2023-08-25,32.65,32.65,32.22,32.45
2023-08-28,32.73,32.73,32.26,32.27
2023-08-29,32.4,32.5,32.3,32.39
2023-08-30,32.79,32.79,32.46,32.66
2023-08-31,32.86,32.94,32.51,32.66
