date,open,high,low,close
2023-07-03,61.45,61.55,60.8,61.15
2023-07-04,61.25,61.45,60.3,60.65
2023-07-05,60.95,62.35,60.4,61.8
2023-07-06,62.1,63.2,61.5,62.4
2023-07-07,62.3,62.3,60.55,60.95
2023-07-10,60.95,61.85,60.5,60.7
2023-07-11,61.2,63.5,60.65,63.0
2023-07-12,63.0,63.7,62.3,63.0
2023-07-13,63.05,63.95,62.35,62.95
2023-07-14,62.5,67.85,62.5,67.25
2023-07-17,68.3,68.3,65.2,65.6
2023-07-18,65.6,66.3,63.25,64.0
2023-07-19,64.0,65.0,63.55,64.5
2023-07-20,65.15,65.55,63.9,64.6
2023-07-21,63.9,65.35,63.9,64.95
2023-07-24,65.95,66.75,64.5,65.1
2023-07-25,67.8,68.0,65.35,66.0
2023-07-26,66.0,66.55,63.05,64.45
2023-07-27,64.85,66.35,64.6,65.1
2023-07-28,65.95,66.0,65.1,65.4
2023-07-31,66.85,67.0,65.5,65.85
2023-08-01,66.5,67.45,65.0,66.0
2023-08-02,66.0,66.95,63.45,64.55
2023-08-03,64.9,65.3,63.4,64.35
2023-08-04,65.3,65.3,64.0,64.65
2023-08-07,65.6,67.0,64.4,66.7
2023-08-08,67.65,67.7,65.45,65.7
2023-08-09,66.5,66.65,65.4,66.05
2023-08-10,66.5,67.0,65.55,65.95
2023-08-11,66.6,66.85,65.4,65.75
2023-08-14,66.45,66.45,63.25,64.85
2023-08-16,68.0,72.0,65.35,69.8
2023-08-17,70.55,74.0,69.55,73.75
2023-08-18,74.4,74.8,71.25,72.2
2023-08-21,73.95,75.4,72.8,74.6
2023-08-22,74.6,74.6,72.6,73.5
2023-08-23,73.85,74.2,72.85,73.2
2023-08-24,73.9,75.5,72.5,72.95
2023-08-25,72.25,79.7,72.25,78.75
2023-08-28,79.45,82.55,76.45,77.0
2023-08-29,77.75,78.7,75.75,77.55
2023-08-30,78.3,81.3,77.7,78.2
2023-08-31,79.0,81.8,78.8,80.4
