date,open,high,low,close
2023-07-03,629.5,639.0,622.05,627.95
2023-07-04,630.0,639.0,624.05,627.3
2023-07-05,628.5,634.0,625.0,631.1
2023-07-06,631.0,637.25,622.0,627.7
2023-07-09,627.6,633.0,623.3,625.95
2023-07-10,627.4,628.4,614.0,616.9
2023-07-11,619.9,622.8,605.0,606.8
2023-07-12,611.0,614.9,596.35,599.35
2023-07-13,599.95,605.95,590.55,598.35
2023-07-16,598.9,619.9,598.4,612.75
2023-07-17,615.0,617.7,599.35,604.6
2023-07-18,605.9,619.0,605.9,609.7
2023-07-19,611.45,615.2,603.9,604.6
2023-07-20,604.5,612.0,602.0,609.0
2023-07-23,609.0,611.0,605.0,608.4
2023-07-24,611.45,611.45,603.25,609.1
2023-07-25,609.1,613.0,604.7,610.15
2023-07-26,611.0,617.0,605.85,609.9
2023-07-27,609.9,616.0,605.0,610.15
2023-07-30,610.5,618.15,609.8,615.7
2023-07-31,618.35,626.0,610.65,616.05
2023-08-01,617.9,641.1,612.3,616.85
2023-08-02,618.8,659.9,618.75,635.1
2023-08-03,642.0,651.95,634.0,638.2
2023-08-06,640.0,653.0,634.4,636.0
2023-08-07,674.0,689.9,644.6,649.35
2023-08-08,652.55,689.0,651.3,680.25
2023-08-09,681.65,709.15,675.75,705.15
2023-08-10,709.0,747.0,709.0,733.25
2023-08-13,734.0,748.45,711.15,724.6
2023-08-15,719.0,727.3,715.0,719.2
2023-08-16,720.25,733.0,709.3,713.25
2023-08-17,710.0,712.1,696.4,702.0
2023-08-20,702.2,713.65,692.55,701.85
2023-08-21,703.2,764.0,703.2,755.8
2023-08-22,760.9,789.4,750.6,768.3
2023-08-23,773.0,781.2,760.55,764.95
2023-08-24,763.0,774.95,755.0,759.35
2023-08-27,756.0,769.8,753.15,757.9
2023-08-28,762.5,783.9,761.95,771.4
2023-08-29,775.0,786.1,764.0,769.45
2023-08-30,773.9,773.9,751.55,755.0
2023-08-31,755.0,782.8,753.0,769.7
