date,open,high,low,close
2023-07-03,89.95,91.7,87.15,89.7
2023-07-04,90.45,94.1,90.45,93.15
2023-07-05,93.45,95.1,90.35,91.35
2023-07-06,91.55,91.55,88.7,89.05
2023-07-09,89.7,89.7,82.0,83.85
2023-07-10,84.7,86.5,83.0,83.2
2023-07-11,83.2,85.9,82.95,85.15
2023-07-12,85.8,87.5,82.65,83.4
2023-07-13,84.1,85.0,83.25,83.5
2023-07-16,84.5,86.65,83.25,83.55
2023-07-17,84.1,85.85,83.6,85.4
2023-07-18,86.0,93.65,86.0,90.95
2023-07-19,91.8,94.5,90.3,91.25
2023-07-20,92.0,93.75,91.35,91.95
2023-07-23,92.7,92.7,87.5,88.0
2023-07-24,88.85,92.0,85.45,87.55
2023-07-25,87.55,89.2,87.0,87.75
2023-07-26,88.0,92.45,87.95,91.15
2023-07-27,91.75,92.35,88.55,89.1
2023-07-30,89.5,97.75,88.95,97.05
2023-07-31,98.0,101.2,95.7,99.25
2023-08-01,99.25,99.4,93.6,94.2
2023-08-02,95.0,99.5,94.6,96.7
2023-08-03,97.05,98.6,95.5,96.9
2023-08-06,97.35,97.4,92.5,93.25
2023-08-07,93.85,103.0,93.85,98.9
2023-08-08,100.0,102.4,96.8,98.05
2023-08-09,99.15,100.3,95.65,96.15
2023-08-10,96.95,96.95,92.2,93.2
2023-08-13,94.25,94.25,89.15,90.1
2023-08-15,90.1,91.65,89.55,90.35
2023-08-16,90.95,92.45,87.65,88.6
2023-08-17,88.15,92.6,88.15,90.25
2023-08-20,92.0,92.25,88.5,89.05
2023-08-21,89.75,90.95,89.2,89.5
2023-08-22,90.15,90.85,88.5,88.95
2023-08-23,89.7,91.95,88.45,89.85
2023-08-24,91.0,107.8,90.85,107.8
2023-08-27,111.5,112.6,103.75,109.45
2023-08-28,111.45,111.45,104.2,105.05
2023-08-29,106.45,108.05,102.05,103.0
2023-08-30,104.5,106.8,102.5,105.05
2023-08-31,106.0,106.1,103.0,103.65
