date,open,high,low,close
2023-06-01,566.0,567.62,563.02,563.81
2023-06-02,565.52,569.98,563.0,566.82
2023-06-05,567.51,569.99,566.82,568.5
2023-06-06,569.52,572.67,569.31,570.8
2023-06-07,571.31,579.27,571.31,577.52
2023-06-08,579.01,583.23,577.0,578.1
2023-06-09,578.0,582.05,566.8,574.72
2023-06-12,575.28,580.05,573.85,579.28
2023-06-13,582.08,582.5,579.01,581.88
2023-06-14,584.89,587.89,581.89,586.62
2023-06-15,586.64,589.73,584.98,586.27
2023-06-16,587.44,592.22,586.76,589.96
2023-06-19,594.55,595.98,586.71,587.75
2023-06-20,588.0,590.09,582.75,588.22
2023-06-21,588.22,591.51,587.41,590.83
2023-06-22,590.01,591.0,587.01,588.67
2023-06-23,587.41,587.41,580.47,582.52
2023-06-26,584.99,592.6,577.76,582.44
2023-06-27,583.01,584.83,582.45,584.24
2023-06-28,584.24,591.59,584.11,589.14
2023-06-30,594.99,595.99,589.15,594.67
2023-07-03,594.67,600.98,584.0,597.62
2023-07-04,597.64,600.0,593.83,594.3
2023-07-05,597.01,599.0,595.59,598.55
2023-07-06,603.97,607.58,598.15,606.14
2023-07-07,606.15,607.0,599.6,602.08
2023-07-10,603.0,606.0,591.2,601.07
2023-07-11,606.0,610.0,604.73,609.05
2023-07-12,612.09,617.01,608.85,609.84
2023-07-13,614.99,614.99,603.02,604.9
2023-07-14,594.61,612.88,592.8,604.27
2023-07-17,609.97,609.98,604.12,607.14
2023-07-18,614.0,614.0,602.01,607.8
2023-07-19,607.81,613.99,606.75,611.35
2023-07-20,611.36,615.34,611.36,614.23
2023-07-21,614.22,618.08,607.51,613.79
2023-07-24,617.99,619.9,611.47,614.73
2023-07-25,615.31,620.0,614.26,616.13
2023-07-26,617.18,649.7,617.17,624.99
2023-07-27,627.01,629.47,619.12,622.63
2023-07-28,622.99,637.15,622.35,627.29
2023-07-31,632.99,645.0,627.3,631.03
2023-08-01,634.99,647.25,628.04,630.34
2023-08-02,627.01,635.36,617.75,622.21
2023-08-03,626.65,626.65,616.21,620.93
2023-08-04,625.97,628.8,620.51,625.04
2023-08-07,629.97,632.93,623.11,625.18
2023-08-08,625.54,639.38,615.52,623.31
2023-08-09,629.97,629.97,620.01,624.75
2023-08-10,629.99,630.0,621.86,625.13
2023-08-11,625.13,626.85,621.18,624.03
2023-08-14,633.96,633.96,610.38,622.44
2023-08-16,618.01,628.48,615.48,624.83
2023-08-17,624.83,628.0,618.6,621.56
2023-08-18,621.96,624.5,618.14,621.68
2023-08-21,624.99,627.99,619.89,624.51
2023-08-22,625.0,630.0,624.52,626.29
2023-08-23,626.29,628.9,622.95,626.43
2023-08-24,628.6,632.07,623.0,624.11
2023-08-25,623.6,627.97,616.38,617.55
2023-08-28,622.0,624.88,614.01,621.08
2023-08-29,620.8,622.1,620.0,621.46
2023-08-30,621.94,624.04,617.0,620.78
2023-08-31,621.04,623.99,616.74,617.93
