date,open,high,low,close
2023-06-01,705.0,711.45,698.6,705.5
2023-06-02,705.5,717.0,703.0,714.2
2023-06-05,704.65,726.6,700.15,725.3
2023-06-06,730.0,753.0,719.55,748.05
2023-06-07,748.0,760.95,743.0,746.05
2023-06-08,745.85,751.5,731.2,735.8
2023-06-09,735.0,738.6,726.05,727.95
2023-06-12,730.0,742.45,720.0,730.55
2023-06-13,731.55,748.2,729.25,734.85
2023-06-14,736.0,740.5,712.4,716.85
2023-06-15,715.1,727.5,710.0,720.65
2023-06-16,722.0,737.5,720.25,735.35
2023-06-19,735.55,741.65,725.2,727.65
2023-06-20,728.3,736.0,726.2,731.2
2023-06-21,731.2,742.85,729.25,737.25
2023-06-22,737.25,740.85,726.45,730.55
2023-06-23,727.25,733.75,723.05,727.2
2023-06-26,700.1,744.85,691.2,740.5
2023-06-27,736.05,741.0,729.0,735.95
2023-06-28,736.05,748.0,734.1,746.0
2023-06-30,746.0,754.2,741.0,742.85
2023-07-03,741.0,748.65,737.5,746.7
2023-07-04,750.0,755.7,744.0,746.05
2023-07-05,747.0,753.9,743.05,750.1
2023-07-06,750.0,761.7,747.5,760.05
2023-07-07,759.95,765.9,754.85,759.3
2023-07-10,763.05,763.05,748.95,755.05
2023-07-11,754.15,770.3,752.6,765.25
2023-07-12,765.3,772.0,758.4,764.9
2023-07-13,764.95,772.0,760.25,769.25
2023-07-14,768.0,778.4,767.0,774.95
2023-07-17,778.8,787.9,775.05,786.7
2023-07-18,786.75,795.45,780.45,793.4
2023-07-19,798.25,806.25,786.3,794.9
2023-07-20,796.0,800.0,782.3,785.25
2023-07-21,783.0,797.85,780.1,794.65
2023-07-24,791.9,798.65,786.3,792.5
2023-07-25,792.5,807.95,789.8,798.9
2023-07-26,800.9,803.3,792.6,795.3
2023-07-27,797.0,835.0,796.95,826.75
2023-07-28,833.35,865.8,825.75,857.25
2023-07-31,857.6,893.25,857.6,873.5
2023-08-01,873.5,906.25,873.5,902.4
2023-08-02,900.0,904.45,880.35,888.2
2023-08-03,888.2,921.9,887.6,894.55
2023-08-04,903.0,911.75,888.25,908.3
2023-08-07,908.8,943.0,902.95,930.1
2023-08-08,933.5,937.8,905.75,910.4
2023-08-09,910.35,943.05,903.3,911.9
2023-08-10,918.95,936.55,885.3,900.85
2023-08-11,906.0,918.95,900.1,907.05
2023-08-14,903.05,912.7,847.3,884.45
2023-08-16,888.0,894.45,873.6,889.65
2023-08-17,889.0,900.95,886.3,888.5
2023-08-18,892.05,893.45,875.0,877.75
2023-08-21,882.4,894.7,877.0,887.0
2023-08-22,891.7,896.75,883.35,884.95
2023-08-23,884.3,891.5,875.05,877.05
2023-08-24,889.0,918.75,878.0,883.45
2023-08-25,887.0,902.0,878.95,883.95
2023-08-28,894.25,897.85,881.55,893.65
2023-08-29,898.4,901.65,886.0,888.4
2023-08-30,889.0,905.0,888.7,890.55
2023-08-31,893.05,893.05,869.8,873.45
