date,open,high,low,close
2023-06-01,32.25,32.45,32.0,32.15
2023-06-02,32.3,32.4,31.9,32.0
2023-06-05,32.05,32.15,31.75,31.8
2023-06-06,31.85,32.5,31.8,32.3
2023-06-07,32.45,34.1,32.3,33.85
2023-06-08,34.15,34.2,33.1,33.4
2023-06-09,33.55,33.6,32.95,33.15
2023-06-12,33.25,33.3,32.9,33.05
2023-06-13,33.05,33.25,32.8,33.0
2023-06-14,33.25,33.5,33.0,33.05
2023-06-15,33.05,33.2,32.75,32.85
2023-06-16,33.0,33.25,32.8,32.95
2023-06-19,33.1,33.4,32.9,33.0
2023-06-20,32.85,33.2,32.65,33.1
2023-06-21,33.3,33.55,32.9,33.05
2023-06-22,33.05,33.15,32.65,32.8
2023-06-23,32.8,32.85,32.15,32.25
2023-06-26,32.3,32.8,31.95,32.35
2023-06-27,32.35,33.0,32.1,32.7
2023-06-28,32.65,32.85,32.5,32.65
2023-06-30,32.75,33.1,32.45,32.7
2023-07-03,32.85,33.0,32.7,32.75
2023-07-04,32.8,33.3,32.6,33.1
2023-07-05,33.2,34.15,33.15,33.45
2023-07-06,33.5,33.65,33.25,33.35
2023-07-07,33.3,33.5,32.9,33.1
2023-07-10,33.25,33.25,32.8,32.95
2023-07-11,32.95,33.1,32.8,32.9
2023-07-12,32.8,33.15,32.75,32.95
2023-07-13,33.05,33.1,32.4,32.55
2023-07-14,32.5,32.8,32.45,32.55
2023-07-17,32.55,32.8,32.35,32.5
2023-07-18,32.6,33.2,32.45,32.6
2023-07-19,32.7,32.95,32.55,32.85
2023-07-20,32.9,33.65,32.8,33.25
2023-07-21,33.3,35.2,33.2,34.95
2023-07-24,35.5,36.1,34.7,35.1
2023-07-25,35.15,35.2,34.3,34.45
2023-07-26,34.65,36.25,34.6,35.25
2023-07-27,35.35,35.35,34.55,34.85
2023-07-28,35.1,35.45,34.75,35.05
2023-07-31,35.5,38.55,35.15,38.2
2023-08-01,39.0,41.7,38.8,40.5
2023-08-02,40.75,41.1,38.85,39.7
2023-08-03,39.9,45.3,39.75,44.7
2023-08-04,46.8,48.3,44.5,45.05
2023-08-07,45.95,50.65,45.7,49.75
2023-08-08,51.25,52.0,49.4,50.3
2023-08-09,49.9,50.1,48.05,48.95
2023-08-10,48.95,50.3,48.85,49.45
2023-08-11,49.7,50.15,48.5,48.9
2023-08-14,48.65,51.3,44.85,50.85
2023-08-16,50.9,52.7,50.4,51.25
2023-08-17,50.0,50.0,46.7,47.65
2023-08-18,47.65,49.0,46.4,47.25
2023-08-21,48.2,48.35,47.45,47.75
2023-08-22,48.1,48.2,47.6,47.85
2023-08-23,48.0,48.15,47.6,47.75
2023-08-24,48.0,50.25,47.9,48.6
2023-08-25,48.7,49.2,48.05,48.4
2023-08-28,48.9,49.3,48.5,48.7
2023-08-29,49.05,50.85,48.95,49.5
2023-08-30,50.0,50.85,49.6,49.8
2023-08-31,50.3,50.5,49.8,50.2
