date,open,high,low,close
2023-06-01,526.5,535.0,524.85,531.9
2023-06-02,534.3,538.5,525.0,526.7
2023-06-05,530.0,537.95,527.15,530.35
2023-06-06,530.0,537.7,529.0,532.95
2023-06-07,538.25,545.9,523.25,526.75
2023-06-08,532.0,534.4,526.3,528.5
2023-06-09,531.0,539.4,526.0,536.75
2023-06-12,538.5,568.0,537.2,563.3
2023-06-13,569.0,572.5,548.1,552.1
2023-06-14,580.0,586.15,552.1,566.8
2023-06-15,569.0,572.5,550.0,552.0
2023-06-16,555.0,556.75,549.25,550.5
2023-06-19,553.0,579.8,547.05,572.4
2023-06-20,568.0,568.0,558.9,560.85
2023-06-21,560.8,562.95,553.35,555.6
2023-06-22,558.0,558.0,548.0,550.2
2023-06-23,552.45,555.8,543.25,551.45
2023-06-26,554.7,556.0,548.55,553.05
2023-06-27,556.0,560.9,548.05,550.0
2023-06-28,550.9,559.6,549.55,553.5
2023-06-30,553.55,557.45,549.95,551.15
2023-07-03,551.15,561.85,550.0,558.15
2023-07-04,558.95,584.0,553.6,575.0
2023-07-05,578.5,584.9,569.5,575.5
2023-07-06,592.0,603.8,588.0,597.55
2023-07-07,600.0,611.95,590.1,596.5
2023-07-10,596.0,596.0,581.2,583.15
2023-07-11,583.15,596.95,582.25,585.4
2023-07-12,587.65,596.85,585.15,586.6
2023-07-13,589.05,607.0,585.0,601.65
2023-07-14,604.7,611.95,600.0,603.2
2023-07-17,601.15,607.75,598.85,600.35
2023-07-18,600.35,604.95,598.05,599.9
2023-07-19,599.9,604.0,599.15,600.9
2023-07-20,603.85,607.5,593.2,600.2
2023-07-21,600.85,624.85,600.85,621.05
2023-07-24,627.3,639.0,618.8,637.15
2023-07-25,640.25,657.1,633.5,648.1
2023-07-26,648.15,680.0,644.8,674.5
2023-07-27,673.1,674.6,641.7,647.35
2023-07-28,651.75,654.55,628.3,634.75
2023-07-31,634.75,636.9,630.25,633.85
2023-08-01,635.15,636.5,622.0,625.35
2023-08-02,628.3,699.0,627.15,633.85
2023-08-03,645.6,658.9,634.5,646.2
2023-08-04,667.0,667.65,634.4,658.25
2023-08-07,666.85,672.8,642.0,647.45
2023-08-08,650.45,653.6,630.4,633.4
2023-08-09,634.8,636.15,625.85,630.3
2023-08-10,630.3,648.6,630.0,635.65
2023-08-11,633.0,637.25,619.05,623.35
2023-08-14,623.25,629.0,610.2,614.05
2023-08-16,614.45,649.8,611.0,646.6
2023-08-17,649.8,659.4,632.8,638.45
2023-08-18,638.45,644.35,621.3,624.4
2023-08-21,659.0,674.9,647.3,652.2
2023-08-22,655.0,668.5,647.1,663.65
2023-08-23,668.8,668.8,646.0,648.85
2023-08-24,655.35,661.25,651.05,657.1
2023-08-25,656.9,656.9,643.2,650.95
2023-08-28,650.95,658.0,643.55,653.8
2023-08-29,653.8,685.0,652.6,675.45
2023-08-30,683.0,685.0,657.45,660.65
2023-08-31,666.55,673.8,658.6,671.45
