date,open,high,low,close
2023-07-03,95.5,97.95,94.0,94.8
2023-07-04,94.75,96.7,94.4,95.7
2023-07-05,96.75,98.1,94.45,95.35
2023-07-06,96.5,96.5,94.0,94.2
2023-07-09,97.95,97.95,93.55,95.35
2023-07-10,96.5,96.5,94.05,95.25
2023-07-11,96.9,96.9,90.2,92.1
2023-07-12,94.3,94.3,91.2,92.05
2023-07-13,94.9,94.9,91.5,92.5
2023-07-16,94.8,95.2,91.05,94.15
2023-07-17,94.15,94.15,91.5,92.95
2023-07-18,92.9,106.0,91.05,102.35
2023-07-19,98.6,103.0,94.35,97.1
2023-07-20,98.9,98.9,94.5,94.75
2023-07-23,98.0,98.0,94.0,95.85
2023-07-24,94.45,98.0,94.0,94.6
2023-07-25,96.05,96.05,93.65,94.95
2023-07-26,94.95,96.5,94.0,94.25
2023-07-27,94.25,95.8,94.2,94.45
2023-07-30,94.2,101.65,94.2,94.95
2023-07-31,94.95,96.5,93.4,95.3
2023-08-01,98.95,98.95,91.0,94.2
2023-08-02,94.2,95.35,94.0,94.05
2023-08-03,94.05,95.75,94.05,95.45
2023-08-06,95.45,101.0,95.45,97.65
2023-08-07,97.7,100.5,95.1,95.55
2023-08-08,97.5,102.8,96.05,98.75
2023-08-09,100.95,101.95,99.1,99.4
2023-08-10,99.35,110.0,98.05,105.85
2023-08-13,107.5,109.65,99.85,102.25
2023-08-15,102.25,105.8,102.2,105.4
2023-08-16,108.55,108.55,102.35,104.75
2023-08-17,106.75,106.75,101.35,102.9
2023-08-20,106.95,106.95,101.6,102.15
2023-08-21,106.0,106.0,102.1,102.95
2023-08-22,105.45,118.65,103.0,114.85
2023-08-23,130.0,137.8,127.85,135.9
2023-08-24,129.85,131.0,122.3,124.95
2023-08-27,128.95,128.95,118.0,119.05
2023-08-28,120.1,121.95,112.2,114.4
2023-08-29,114.4,122.5,112.55,117.95
2023-08-30,120.85,120.85,113.7,115.4
2023-08-31,117.3,118.0,114.0,117.45
